claim_id,claim_class,evidence_anchor,a_obs_id,a_raw_value,a_state,b_obs_id,b_raw_value,b_state,comparison_status,governing_value,governing_state,unit,network_role,note
P04-DIM-008,WRITTEN_DIMENSION,P001-REGION-R02-C02,A-DIM-008,4.70,DOC,,,,NOT_VISIBLE_B,4.70,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Span membership unresolved inside folded band.
P04-DIM-009,WRITTEN_DIMENSION,P001-TILE-R02-C01,A-DIM-009,20.30,DOC,,,,NOT_VISIBLE_B,20.30,DOC,UNSPECIFIED_ON_DRAWING,OVERALL_SPAN,B has unpaired 22.30 candidate on same tile; no pairing is assumed without witness alignment.
P04-DIM-010,WRITTEN_DIMENSION,P001-TILE-R02-C01,A-DIM-010,4.70,DOC,,,,NOT_VISIBLE_B,4.70,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Direct A value.
P04-DIM-011,WRITTEN_DIMENSION,P001-TILE-R02-C01,A-DIM-011,4.05,DOC,,,,NOT_VISIBLE_B,4.05,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Direct A value.
P04-DIM-012,WRITTEN_DIMENSION,P001-TILE-R03-C01,A-DIM-012,20.30,DOC,,,,NOT_VISIBLE_B,20.30,DOC,UNSPECIFIED_ON_DRAWING,OVERALL_SPAN,Direct A value.
P04-DIM-013,WRITTEN_DIMENSION,P001-TILE-R03-C01,A-DIM-013,6.25,DOC,B-OBS-012,6.26,RIF,CONFLICT,6.25,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Reader disagreement retained; A direct visual DOC governs provisionally but claim requires P06 local adjudication before geometry promotion.
P04-DIM-014,WRITTEN_DIMENSION,P001-TILE-R03-C01,A-DIM-014,4.95,DOC,B-OBS-011,4.96,INC,CONFLICT,4.95,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Reader disagreement retained; no averaging or majority rule.
P04-DIM-015,WRITTEN_DIMENSION,P001-REGION-R01-C01,A-DIM-015,23.20,DOC,,,,NOT_VISIBLE_B,23.20,DOC,UNSPECIFIED_ON_DRAWING,OVERALL_SPAN,Direct A vertical dimension.
P04-DIM-016,WRITTEN_DIMENSION,P001-REGION-R01-C01,A-DIM-016,5.50,DOC,,,,NOT_VISIBLE_B,5.50,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Direct A vertical segment.
P04-DIM-017,WRITTEN_DIMENSION,P001-REGION-R01-C01,A-DIM-017,3.45,DOC,,,,NOT_VISIBLE_B,3.45,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Direct A vertical segment.
P04-DIM-018,WRITTEN_DIMENSION,P001-REGION-R01-C01,A-DIM-018,3.45,DOC,,,,NOT_VISIBLE_B,3.45,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Second direct A vertical segment.
P04-DIM-019,WRITTEN_DIMENSION,P001-REGION-R01-C01,A-DIM-019,4.70,DOC,,,,NOT_VISIBLE_B,4.70,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Direct A vertical segment.
P04-DIM-020,WRITTEN_DIMENSION,P001-TILE-R02-C02,A-DIM-020,5.60,DOC,,,,NOT_VISIBLE_B,5.60,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,No total span associated at P04.
P04-DIM-021,WRITTEN_DIMENSION,P001-TILE-R03-C02,A-DIM-021,4.45,DOC,,,,PARTIAL_MATCH_UNPAIRED_B_CANDIDATE,4.45,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,B independently reads 4.45 on adjacent tile R03-C03; no identity of witness span is assumed.
P04-DIM-022,WRITTEN_DIMENSION,P001-TILE-R04-C02,A-DIM-022,13.60,DOC,,,,NOT_VISIBLE_B,13.60,DOC,UNSPECIFIED_ON_DRAWING,OVERALL_SPAN,Direct A vertical overall.
P04-DIM-023,WRITTEN_DIMENSION,P001-TILE-R04-C02,A-DIM-023,2.00,DOC,,,,NOT_VISIBLE_B,2.00,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Direct A vertical segment.
P04-DIM-024,WRITTEN_DIMENSION,P001-TILE-R04-C02,A-DIM-024,4.65,DOC,,,,NOT_VISIBLE_B,4.65,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Direct A vertical segment.
P04-DIM-025,WRITTEN_DIMENSION,P001-TILE-R04-C02,A-DIM-025,6.45,DOC,,,,NOT_VISIBLE_B,6.45,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Direct A vertical segment.
P04-DTL-001,DETAIL_DIMENSION,P001-TILE-R02-C02,A-DTL-001,45,DOC,,,,NOT_VISIBLE_B,45,DOC,UNSPECIFIED_ON_DRAWING,NONPLAN_DETAIL,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P04-DTL-002,DETAIL_DIMENSION,P001-TILE-R02-C02,A-DTL-002,90,DOC,,,,NOT_VISIBLE_B,90,DOC,UNSPECIFIED_ON_DRAWING,NONPLAN_DETAIL,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P04-DTL-003,DETAIL_DIMENSION,P001-TILE-R02-C02,A-DTL-003,120,DOC,,,,NOT_VISIBLE_B,120,DOC,UNSPECIFIED_ON_DRAWING,NONPLAN_DETAIL,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P04-DTL-004,DETAIL_DIMENSION,P001-TILE-R02-C02,A-DTL-004,20,DOC,,,,NOT_VISIBLE_B,20,DOC,UNSPECIFIED_ON_DRAWING,NONPLAN_DETAIL,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P04-DTL-005,DETAIL_DIMENSION,P001-TILE-R02-C02,A-DTL-005,95,DOC,,,,NOT_VISIBLE_B,95,DOC,UNSPECIFIED_ON_DRAWING,NONPLAN_DETAIL,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P04-DTL-006,DETAIL_DIMENSION,P001-TILE-R02-C02,A-DTL-006,70,DOC,,,,NOT_VISIBLE_B,70,DOC,UNSPECIFIED_ON_DRAWING,NONPLAN_DETAIL,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P04-DTL-007,DETAIL_DIMENSION,P001-TILE-R02-C02,A-DTL-007,15,DOC,,,,NOT_VISIBLE_B,15,DOC,UNSPECIFIED_ON_DRAWING,NONPLAN_DETAIL,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P04-DTL-008,DETAIL_DIMENSION,P001-TILE-R02-C02,A-DTL-008,35,DOC,,,,NOT_VISIBLE_B,35,DOC,UNSPECIFIED_ON_DRAWING,NONPLAN_DETAIL,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P04-DTL-009,DETAIL_DIMENSION,P001-TILE-R02-C02,A-DTL-009,100,DOC,,,,NOT_VISIBLE_B,100,DOC,UNSPECIFIED_ON_DRAWING,NONPLAN_DETAIL,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
