photo_id,filename,sha256,bytes,family,duplicate_group,historical_role,visible_page_label,classification_status,promotion_authorized,document_group_v2,document_identity_v2,document_title_v2,group_confidence_v2,technical_topics_v2,page_identity_state_v2,independent_evidence_unit,promotion_authorized_v2
N12-PHOTO-011,1788939776477.jpg,0f7bff563adb61052a95ca55c0b4fa82ba2122e5b52b3d631c78fbc93f954365,141696,FRAME_DIAGRAM,DG-02,,,FAMILY_CLASSIFIED,NO,DG-FRAME-B,PAGE_TO_VERIFY,Telaio V-G-H-Z / famiglie correlate,MEDIUM,geometria telai; livelli; nodi,TO_VERIFY,DG-FRAME-B,NO
N12-PHOTO-012,1788939776496.jpg,c6a30d7e7e7e476b010eceeb5725e13a6ca257aa3f2d681563b0d9551948467c,170889,FRAME_DIAGRAM,DG-03,,,FAMILY_CLASSIFIED,NO,DG-FRAME-A,PAGE_TO_VERIFY,Telai A-B-C-D e Telaio 3,HIGH,geometria telai; campate; livelli,TO_VERIFY,DG-FRAME-A,NO
N12-PHOTO-013,1788939776512.jpg,0179add20825c9c95837f60c8c0b0863ff491a102c240283e9bd9f6377f2c280,154102,FRAME_DIAGRAM,DG-04,,,FAMILY_CLASSIFIED,NO,DG-FRAME-C,PAGE_TO_VERIFY,Telaio I-L-M-N-O-P-Q-R,HIGH,geometria telaio; livelli; nodi,TO_VERIFY,DG-FRAME-C,NO
N12-PHOTO-014,1788939776529.jpg,9deece66cfbd6ac1f650db44a94e8098790b85aa9a000d4f67469af0b1cf3312,143441,PLAN_OR_FRAME_LAYOUT,DG-05,,,FAMILY_CLASSIFIED,NO,DG-PLAN-1,PAGE_TO_VERIFY,Pianta piano copertura / schema,MEDIUM,pianta; griglia; copertura,TO_VERIFY,DG-PLAN-1,NO
N12-PHOTO-015,1788939776548.jpg,76b81f4dae613739d48b2273f667208883553223baaea6dd1bccd4d57a8844fe,181039,PLAN_OR_FRAME_LAYOUT,DG-06,,,FAMILY_CLASSIFIED,NO,DG-PLAN-2,PAGE_TO_VERIFY,Pianta piano tipo — telai,HIGH,pianta piano tipo; allineamenti telai; ancoraggio planimetrico,TO_VERIFY,DG-PLAN-2,NO
N12-PHOTO-016,1788939776564.jpg,f8b7366e70035b86fd402f7978020d80053b200b823b2f147432316327ce4d13,153179,CALCULATION_SHEET,,,,FAMILY_CLASSIFIED,NO,DG-RCP15,RC-P15,Peso solaio/tetto e considerazioni di calcolo,HIGH,solaio tetto; copertura; pesi; coefficiente Kani,VERIFIED,DG-RCP15,NO
N12-PHOTO-017,1788939776582.jpg,7e2560fea42bbd05a8d633576af2352ea079b2565362b876fbc35bd793ede911,159716,CALCULATION_SHEET,,RC-P13,13.0,PRIMARY_ROLE_VERIFIED,NO,DG-RCP13,RC-P13,Telaio 5 — calcolo carichi/sezioni,HIGH,Telaio 5; sezioni 25x70 e 140x20; carichi lineari; tratti numerati,VERIFIED,DG-RCP13,NO
N12-PHOTO-018,1788939776599.jpg,e9a9e6bd0ffead15283562bbdd9cde968f158543e070d80dd6cb2239332399a0,181342,CALCULATION_SHEET,,,,FAMILY_CLASSIFIED,NO,DG-RCP14,RC-P14,Calcolo carichi telai H-R-C e altri,HIGH,traversi; carichi lineari; telai multipli,VERIFIED,DG-RCP14,NO
N12-PHOTO-019,1788939776617.jpg,5c4634df4f570ae99f85b5c0ad7008baacffdbc19362916525fe47e700593b4c,184367,CALCULATION_SHEET,,,,FAMILY_CLASSIFIED,NO,DG-RCP13,RC-P13,Telaio 5 — calcolo carichi/sezioni,HIGH,Telaio 5; sezioni 25x70 e 140x20; carichi lineari; tratti numerati,VERIFIED,DG-RCP13,NO
N12-PHOTO-020,1788939776639.jpg,3f89f102824814023c559355f49412da096d5323e1fcfc8ab5b99cdada29968d,180117,CALCULATION_SHEET,,,,FAMILY_CLASSIFIED,NO,DG-RCP12,RC-P12,Calcolo carichi telai,HIGH,traversi; balconi; tamponatura; carichi lineari,VERIFIED,DG-RCP12,NO
N12-PHOTO-021,1788939776658.jpg,REPLACE_SHA,0,CALCULATION_SHEET,,,,FAMILY_CLASSIFIED,NO,DG-RCP11,RC-P11,Analisi dei carichi — Telaio I-L-M-N-P-Q-R e Telaio A-B-C-D,HIGH,carichi telai; traversi; sezioni; tamponature; solai,VERIFIED,DG-RCP11,NO
N12-PHOTO-022,1788939776676.jpg,REPLACE_SHA,0,FRAME_DIAGRAM,DG-01,,,FAMILY_CLASSIFIED,NO,DG-RCP10,RC-P10,Telaio 5 — schema geometrico,HIGH,Telaio 5; nodi; campate; livelli; G5 truncation,VERIFIED,DG-RCP10,NO
N12-PHOTO-023,1788939776690.jpg,REPLACE_SHA,0,FRAME_DIAGRAM,DG-02,,,FAMILY_CLASSIFIED,NO,DG-FRAME-B,PAGE_TO_VERIFY,Telaio V-G-H-Z / famiglie correlate,MEDIUM,geometria telai; livelli; nodi,TO_VERIFY,DG-FRAME-B,NO
N12-PHOTO-024,1788939776705.jpg,REPLACE_SHA,0,FRAME_DIAGRAM,DG-03,,,FAMILY_CLASSIFIED,NO,DG-FRAME-A,PAGE_TO_VERIFY,Telai A-B-C-D e Telaio 3,HIGH,geometria telai; campate; livelli,TO_VERIFY,DG-FRAME-A,NO
N12-PHOTO-025,1788939776721.jpg,REPLACE_SHA,0,FRAME_DIAGRAM,DG-04,,,FAMILY_CLASSIFIED,NO,DG-FRAME-C,PAGE_TO_VERIFY,Telaio I-L-M-N-O-P-Q-R,HIGH,geometria telaio; livelli; nodi,TO_VERIFY,DG-FRAME-C,NO
N12-PHOTO-026,1788939776737.jpg,REPLACE_SHA,0,PLAN_OR_FRAME_LAYOUT,DG-05,,,FAMILY_CLASSIFIED,NO,DG-PLAN-1,PAGE_TO_VERIFY,Pianta piano copertura / schema,MEDIUM,pianta; griglia; copertura,TO_VERIFY,DG-PLAN-1,NO
N12-PHOTO-027,1788939776754.jpg,REPLACE_SHA,0,PLAN_OR_FRAME_LAYOUT,DG-06,,,FAMILY_CLASSIFIED,NO,DG-PLAN-2,PAGE_TO_VERIFY,Pianta piano tipo — telai,HIGH,pianta piano tipo; allineamenti telai; ancoraggio planimetrico,TO_VERIFY,DG-PLAN-2,NO
N12-PHOTO-028,1788939776774.jpg,REPLACE_SHA,0,CALCULATION_SHEET,DG-07,,,FAMILY_CLASSIFIED,NO,DG-RCP04,RC-P04,Analisi carichi — sottotetto, tamponatura, scale, travi,HIGH,solaio sottotetto; tamponatura; scale; balconi; pesi propri travi,VERIFIED,DG-RCP04,NO
N12-PHOTO-029,1788939776798.jpg,REPLACE_SHA,0,TEXTUAL_REPORT_PAGE,DG-08,,,FAMILY_CLASSIFIED,NO,DG-NOTES,PAGE_TO_VERIFY,Annotazioni costruttive,HIGH,tamponatura; travi portanti 25x70; camera d'aria; pilastri,TO_VERIFY,DG-NOTES,NO
N12-PHOTO-030,1788939776823.jpg,REPLACE_SHA,0,CALCULATION_TABLE,DG-09,,,FAMILY_CLASSIFIED,NO,DG-CALCLOAD,RC-P03_CANDIDATE,Analisi dei carichi,MEDIUM,solaio copertura; solaio sottotetto; sovraccarichi; carichi permanenti,CANDIDATE,DG-CALCLOAD,NO
N12-PHOTO-031,1788939776853.jpg,REPLACE_SHA,0,TEXTUAL_REPORT_PAGE,DG-10,,,FAMILY_CLASSIFIED,NO,DG-RCP02,RC-P02,Calcoli di stabilità delle strutture,HIGH,sistema strutturale; telai; Kani; fondazioni; terreno; materiali,VERIFIED,DG-RCP02,NO
N12-PHOTO-032,1788939776879.jpg,REPLACE_SHA,0,TEXTUAL_REPORT_PAGE,,,,FAMILY_CLASSIFIED,NO,DG-COVER,FRONTESPIZIO,Progetto civile abitazione,HIGH,frontespizio progetto,TO_VERIFY,DG-COVER,NO
N12-PHOTO-033,1788939776899.jpg,3dc4528d3258d39827b245bc74ccff750ede140a0b2655a60c03241910451414,154618,FRAME_DIAGRAM,DG-01,RC-P10,10.0,PRIMARY_ROLE_VERIFIED,NO,DG-RCP10,RC-P10,Telaio 5 — schema geometrico,HIGH,Telaio 5; nodi; campate; livelli; G5 truncation,VERIFIED,DG-RCP10,NO
N12-PHOTO-034,1788939776920.jpg,REPLACE_SHA,0,PLAN_OR_FRAME_LAYOUT,,,,FAMILY_CLASSIFIED,NO,DG-PLAN-TIPO-SKETCH,PAGE_TO_VERIFY,Pianta piano tipo compreso il terrazzo,HIGH,pianta piano tipo; terrazzo; campate; assi X-Y,TO_VERIFY,DG-PLAN-TIPO-SKETCH,NO
N12-PHOTO-035,1788939776944.jpg,REPLACE_SHA,0,FRAME_DIAGRAM,DG-02,,,FAMILY_CLASSIFIED,NO,DG-FRAME-B,PAGE_TO_VERIFY,Telaio V-G-H-Z / famiglie correlate,MEDIUM,geometria telai; livelli; nodi,TO_VERIFY,DG-FRAME-B,NO
N12-PHOTO-036,1788939776969.jpg,REPLACE_SHA,0,FRAME_DIAGRAM,DG-03,,,FAMILY_CLASSIFIED,NO,DG-FRAME-A,PAGE_TO_VERIFY,Telai A-B-C-D e Telaio 3,HIGH,geometria telai; campate; livelli,TO_VERIFY,DG-FRAME-A,NO
N12-PHOTO-037,1788939776994.jpg,REPLACE_SHA,0,FRAME_DIAGRAM,DG-04,,,FAMILY_CLASSIFIED,NO,DG-FRAME-C,PAGE_TO_VERIFY,Telaio I-L-M-N-O-P-Q-R,HIGH,geometria telaio; livelli; nodi,TO_VERIFY,DG-FRAME-C,NO
N12-PHOTO-038,1788939777016.jpg,REPLACE_SHA,0,PLAN_OR_FRAME_LAYOUT,DG-05,,,FAMILY_CLASSIFIED,NO,DG-PLAN-1,PAGE_TO_VERIFY,Pianta piano copertura / schema,MEDIUM,pianta; griglia; copertura,TO_VERIFY,DG-PLAN-1,NO
N12-PHOTO-039,1788939777040.jpg,REPLACE_SHA,0,PLAN_OR_FRAME_LAYOUT,DG-06,,,FAMILY_CLASSIFIED,NO,DG-PLAN-2,PAGE_TO_VERIFY,Pianta piano tipo — telai,HIGH,pianta piano tipo; allineamenti telai; ancoraggio planimetrico,TO_VERIFY,DG-PLAN-2,NO
N12-PHOTO-040,1788939777060.jpg,REPLACE_SHA,0,CALCULATION_SHEET,DG-07,,,FAMILY_CLASSIFIED,NO,DG-RCP04,RC-P04,Analisi carichi — sottotetto tamponatura scale travi,HIGH,solaio sottotetto; tamponatura; scale; balconi; pesi propri travi,VERIFIED,DG-RCP04,NO
N12-PHOTO-041,1788939777081.jpg,REPLACE_SHA,0,TEXTUAL_REPORT_PAGE,DG-08,,,FAMILY_CLASSIFIED,NO,DG-NOTES,PAGE_TO_VERIFY,Annotazioni costruttive,HIGH,tamponatura; travi portanti 25x70; camera d'aria; pilastri,TO_VERIFY,DG-NOTES,NO
N12-PHOTO-042,1788939777109.jpg,REPLACE_SHA,0,CALCULATION_TABLE,DG-09,,,FAMILY_CLASSIFIED,NO,DG-CALCLOAD,RC-P03_CANDIDATE,Analisi dei carichi,MEDIUM,solaio copertura; solaio sottotetto; sovraccarichi; carichi permanenti,CANDIDATE,DG-CALCLOAD,NO
N12-PHOTO-043,1788939777138.jpg,REPLACE_SHA,0,TEXTUAL_REPORT_PAGE,DG-10,,,FAMILY_CLASSIFIED,NO,DG-RCP02,RC-P02,Calcoli di stabilità delle strutture,HIGH,sistema strutturale; telai; Kani; fondazioni; terreno; materiali,VERIFIED,DG-RCP02,NO
