beam_id,storey_id,source_sheet,from_support_id,to_support_id,direction_class,section_cm,section_evidence_status,topology_evidence_status,from_support_face,to_support_face,primary_source_id,render_evidence,validation_state,note
G5-B011,G5,TAV-06S,10,11,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B012,G5,TAV-06S,11,12,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B013,G5,TAV-06S,13,14,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B014,G5,TAV-06S,14,15,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B015,G5,TAV-06S,10,18,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B016,G5,TAV-06S,11,20,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B017,G5,TAV-06S,12,19,DIAGONAL,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct diagonal beam contour from support 12 to support 19 on TAV-06S.
G5-B018,G5,TAV-06S,18,19,Y_WITH_OFFSET,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B019,G5,TAV-06S,19,20,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Short direct TAV-06S support-to-support beam span.
G5-B020,G5,TAV-06S,13,21,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B021,G5,TAV-06S,14,22,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B022,G5,TAV-06S,15,23,X_WITH_OFFSET,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B023,G5,TAV-06S,19,25,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B024,G5,TAV-06S,21,22,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B025,G5,TAV-06S,22,22',Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Short direct span preserving distinct 22-prime identity.
G5-B026,G5,TAV-06S,22',23,Y_WITH_OFFSET,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B027,G5,TAV-06S,21,26,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B028,G5,TAV-06S,22',27,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B029,G5,TAV-06S,25,26,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B030,G5,TAV-06S,26,27,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B031,G5,TAV-06S,25,28,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B032,G5,TAV-06S,26,29,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B033,G5,TAV-06S,27,30,X_WITH_OFFSET,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B034,G5,TAV-06S,28,29,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
G5-B035,G5,TAV-06S,29,30,Y_WITH_OFFSET,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace.
