connection_id,tavola_id,support_i,support_j,topology_status,evidence_status,confidence,beam_type,section_b_cm,section_h_cm,source_basis,supersedes,notes
T05-C020,TAV-05S,P10,P02,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"continuita' strutturale P10-P02 + quota 50/richiamo 20",v2:T05-C020,"RIPRISTINATA dopo QA v3"
T05-C021,TAV-05S,P02,P03,VERIFIED,DOC+RIF,HIGH,TRAVE_EMERGENTE,25,70,"h=70 documentata sulla tavola; b=25 dato consolidato per travi emergenti h70",v3:T05-C021,"NDx70 SUPERATO"
T05-C022,TAV-05S,P11,P03,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,30,20,"continuita' strutturale P11-P03 + quota 30/richiamo 20",v2:T05-C022,"RIPRISTINATA dopo QA v3"
T05-C023,TAV-05S,P03,P04,VERIFIED,DOC+RIF,HIGH,TRAVE_EMERGENTE,25,70,"h=70 documentata sulla tavola; b=25 dato consolidato per travi emergenti h70",v3:T05-C023,"NDx70 SUPERATO"
T05-C025A,TAV-05S,P04,P05,VERIFIED,DOC,HIGH,ND,,,"raster ad alta risoluzione mostra tratto distinto tra i pilastri 4 e 5",v3:T05-C025A,"sezione locale ancora ND"
T05-C025B,TAV-05S,P05,P06,VERIFIED,DOC+RIF,HIGH,TRAVE_EMERGENTE,25,70,"h=70 documentata sulla tavola; b=25 dato consolidato per travi emergenti h70",v3:T05-C025B,"NDx70 SUPERATO"
T05-C026,TAV-05S,P14,P06,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"continuita' strutturale P14-P06 + quota 50/richiamo 20",v2:T05-C026,"RIPRISTINATA dopo QA v3"
T05-C027,TAV-05S,P06,P07,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v3:T05-C027,""
T05-C028,TAV-05S,P15,P07,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"continuita' strutturale P15-P07 + quota 50/richiamo 20",v2:T05-C028,"RIPRISTINATA dopo QA v3"
T05-C029,TAV-05S,P07,P08,VERIFIED,DOC+RIF,HIGH,TRAVE_EMERGENTE,25,70,"h=70 documentata sulla tavola; b=25 dato consolidato per travi emergenti h70",v3:T05-C029,"NDx70 SUPERATO"
T05-C030,TAV-05S,P16,P08,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v3:T05-C030,""
T05-C031,TAV-05S,P17,P09,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v3:T05-C031,""
T05-C032,TAV-05S,P17,P18,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v3:T05-C032,"asse ortogonale; offset su P18, non inclinare verso filo fisso"
T05-C033,TAV-05S,P18,P10,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"continuita' strutturale P18-P10 + quota 120/richiamo 20",v2:T05-C033,"RIPRISTINATA; attacco su P18 mediante offset/insertion geometry"
T05-C034,TAV-05S,P18,P19,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70 sul tratto",v3:T05-C034,"asse ortogonale; offset su P18, non inclinare verso filo fisso"
T05-C035,TAV-05S,P19,P20,VERIFIED,DOC,HIGH,ND,,,"linea strutturale continua tra i pilastri 19 e 20",v3:T05-C035,"sezione non attribuita"
T05-C036,TAV-05S,P20,P11,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,70,20,"continuita' strutturale P20-P11 + quota 70/richiamo 20",v2:T05-C036,"RIPRISTINATA dopo QA v3"
T05-C037,TAV-05S,P25,P26,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120 sul tratto verticale",v3:T05-C037,""
T05-C038,TAV-05S,P26,P27,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120 sul tratto verticale",v3:T05-C038,""
T05-C039,TAV-05S,P22,P14,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"scansione raster completa: linea strutturale continua P22-P14 con quota 50 e richiamo 20",,"NUOVA connessione recuperata"
T05-C040,TAV-05S,P23,P15,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"scansione raster completa: linea strutturale continua P23-P15 con quota 50 e richiamo 20",,"NUOVA connessione recuperata; offset su P23"
T05-C041,TAV-05S,P24,P16,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"bordo inferiore continuo P24-P16; quote 25/70",,"NUOVA connessione recuperata"
