member_id,from_support_id,to_support_id,source_basis,source_candidate_id,source_group,section_family_candidate,topology_evidence,reinforcement_binding_status,promotion_state,note
FND-M014,29,32,DOC_TAV01A_PLUS_TAV01S,FND-C014,F1A-G03,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M015,22,22',DOC_TAV01A_PLUS_TAV01S,FND-C016,F1A-G03,FND-SEC-A,DOC,ARMATURE_INTERVAL_REBOUND_POLYLINE,CURRENT_TOPOLOGY,Physical subdivision of TAV-01A interval 22-27 at documentary support 22 bis (22').
FND-M016,22',27,DOC_TAV01A_PLUS_TAV01S,FND-C016,F1A-G03,FND-SEC-A,DOC,ARMATURE_INTERVAL_REBOUND_POLYLINE,CURRENT_TOPOLOGY,Physical subdivision of TAV-01A interval 22-27 at documentary support 22 bis (22').
FND-M017,27,30,DOC_TAV01A_PLUS_TAV01S,FND-C017,F1A-G03,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M018,30,33,DOC_TAV01A_PLUS_TAV01S,FND-C018,F1A-G03,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M019,24,16,DOC_TAV01A_PLUS_TAV01S,FND-C019,F1A-G04,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M020,16,8,DOC_TAV01A_PLUS_TAV01S,FND-C020,F1A-G04,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M021,23,15,DOC_TAV01A_PLUS_TAV01S,FND-C021,F1A-G04,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M022,15,7,DOC_TAV01A_PLUS_TAV01S,FND-C022,F1A-G04,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M023,22,14,DOC_TAV01A_PLUS_TAV01S,FND-C023,F1A-G04,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,TAV-01A parenthesized dimensions apply to the 22-14-6 sequence.
FND-M024,14,6,DOC_TAV01A_PLUS_TAV01S,FND-C024,F1A-G04,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,TAV-01A parenthesized dimensions apply to the 22-14-6 sequence.
FND-M025,c,a,DOC_TAV01A_PLUS_TAV01S,FND-C025,F1A-G05,FND-SEC-B,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M026,a,17,DOC_TAV01A_PLUS_TAV01S,FND-C026,F1A-G05,FND-SEC-B,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M027,17,9,DOC_TAV01A_PLUS_TAV01S,FND-C027,F1A-G05,FND-SEC-B_TO_A_TRANSITION_WATCH,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M028,9,1,DOC_TAV01A_PLUS_TAV01S,FND-C028,F1A-G05,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M029,d,b,DOC_TAV01A_PLUS_TAV01S,FND-C029,F1A-G05,FND-SEC-B,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M030,b,18,DOC_TAV01A_PLUS_TAV01S,FND-C030,F1A-G05,FND-SEC-B,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M031,18,10,DOC_TAV01A_PLUS_TAV01S,FND-C031,F1A-G05,FND-SEC-B_TO_A_TRANSITION_WATCH,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M032,10,2,DOC_TAV01A_PLUS_TAV01S,FND-C032,F1A-G05,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M033,a,b,DOC_TAV01A_PLUS_TAV01S,FND-C033,F1A-G06,FND-SEC-B,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M034,b,25,DOC_TAV01A_PLUS_TAV01S,FND-C034,F1A-G06,FND-SEC-B_TO_VERIFY,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M035,25,26,DOC_TAV01A_PLUS_TAV01S,FND-C035,F1A-G06,FND-SEC-A_TO_VERIFY,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M036,26,27,DOC_TAV01A_PLUS_TAV01S,FND-C036,F1A-G06,FND-SEC-A_TO_VERIFY,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M037,c,d,DOC_TAV01A_PLUS_TAV01S,FND-C037,F1A-G06,FND-SEC-B,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M038,d,28,DOC_TAV01A_PLUS_TAV01S,FND-C038,F1A-G06,FND-SEC-B_TO_VERIFY,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M039,28,29,DOC_TAV01A_PLUS_TAV01S,FND-C039,F1A-G06,FND-SEC-A_TO_VERIFY,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M040,29,30,DOC_TAV01A_PLUS_TAV01S,FND-C040,F1A-G06,FND-SEC-A_TO_VERIFY,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M041,31,32,DOC_TAV01A_PLUS_TAV01S,FND-C041,F1A-G06,FND-SEC-A_TO_VERIFY,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M042,32,33,DOC_TAV01A_PLUS_TAV01S,FND-C042,F1A-G06,FND-SEC-A_TO_VERIFY,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M043,12,5,DOC_TAV01A_PLUS_TAV01S,FND-C043,F1A-G07,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M044,5,4,DOC_TAV01A_PLUS_TAV01S,FND-C044,F1A-G07,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M045,5,6,DOC_TAV01S_ONLY,FND-S001,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M046,6,7,DOC_TAV01S_ONLY,FND-S002,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M047,7,8,DOC_TAV01S_ONLY,FND-S003,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M048,31,28,DOC_TAV01S_ONLY,FND-S004,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M049,28,25,DOC_TAV01S_ONLY,FND-S005,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M050,25,19,DOC_TAV01S_ONLY,FND-S006,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M051,21,22,DOC_TAV01S_ONLY,FND-S007,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M052,23,24,DOC_TAV01S_ONLY,FND-S008,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M053,20,11,DOC_TAV01S_ONLY,FND-S009,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M054,11,3,DOC_TAV01S_ONLY,FND-S010,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M055,20,21,DOC_TAV01S_ONLY,FND-S011,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M056,19,20,DOC_TAV01S_ONLY,FND-S012,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M057,18,19,DOC_TAV01S_ONLY,FND-S013,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M058,23,22',DOC_TAV01S_ONLY,FND-S014,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
FND-M059,17,18,DOC_TAV01S_ONLY,FND-S015,TAV01S_ONLY,ND,DOC,ND_NOT_BOUND_FROM_TAV01A,CURRENT_TOPOLOGY_WITH_REINFORCEMENT_WATCH,Physical member documented by TAV-01S; reinforcement/section assignment remains open.
