entity_id,entity_kind,support_id,from_support_id,to_support_id,global_support_identity,x_global_m,y_global_m,z_numeric_m,z_symbol,topology_authority,topology_regression_state,property_binding_class,source_group,section_family,historical_concrete_reference,current_concrete_strength,historical_steel_grade,solver_material_ready,numeric_load_ready,current_geotechnics_ready,validation_state,note
FND-P07-N011,SUPPORT,11,,,11,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N012,SUPPORT,12,,,12,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N013,SUPPORT,13,,,13,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N014,SUPPORT,14,,,14,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N015,SUPPORT,15,,,15,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N016,SUPPORT,16,,,16,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N017,SUPPORT,17,,,17,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N018,SUPPORT,18,,,18,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N019,SUPPORT,19,,,19,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N020,SUPPORT,20,,,20,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N021,SUPPORT,21,,,21,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N022,SUPPORT,22,,,22,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N023,SUPPORT,23,,,23,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N024,SUPPORT,24,,,24,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N025,SUPPORT,25,,,25,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N026,SUPPORT,26,,,26,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N027,SUPPORT,27,,,27,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N028,SUPPORT,28,,,28,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N029,SUPPORT,29,,,29,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N030,SUPPORT,30,,,30,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N031,SUPPORT,31,,,31,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N032,SUPPORT,32,,,32,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N033,SUPPORT,33,,,33,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N034,SUPPORT,22bis,,,22bis,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N035,SUPPORT,a,,,a,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N036,SUPPORT,b,,,b,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N037,SUPPORT,c,,,c,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N038,SUPPORT,d,,,d,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-M001,FOUNDATION_MEMBER,,1,2,1|2,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G01,FND-SEC-A,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M002,FOUNDATION_MEMBER,,2,3,2|3,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G01,FND-SEC-A,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M003,FOUNDATION_MEMBER,,3,4,3|4,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G01,FND-SEC-A,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M004,FOUNDATION_MEMBER,,5,6,5|6,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,ND_DOCUMENTARY_COVERAGE,,ND_DOCUMENTARY_COVERAGE,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence; no direct autonomous TAV-01A section/longitudinal-reinforcement binding.
FND-P07-M005,FOUNDATION_MEMBER,,6,7,6|7,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,ND_DOCUMENTARY_COVERAGE,,ND_DOCUMENTARY_COVERAGE,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence; no direct autonomous TAV-01A section/longitudinal-reinforcement binding.
FND-P07-M006,FOUNDATION_MEMBER,,7,8,7|8,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,ND_DOCUMENTARY_COVERAGE,,ND_DOCUMENTARY_COVERAGE,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence; no direct autonomous TAV-01A section/longitudinal-reinforcement binding.
FND-P07-M007,FOUNDATION_MEMBER,,9,10,9|10,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G02,FND-SEC-A,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M008,FOUNDATION_MEMBER,,10,11,10|11,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G02,FND-SEC-A,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M009,FOUNDATION_MEMBER,,11,12,11|12,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G02,FND-SEC-A,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M010,FOUNDATION_MEMBER,,12,13,12|13,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G02,FND-SEC-A,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M011,FOUNDATION_MEMBER,,13,14,13|14,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G02,FND-SEC-A,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M012,FOUNDATION_MEMBER,,14,15,14|15,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G02,FND-SEC-A,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M013,FOUNDATION_MEMBER,,15,16,15|16,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G02,FND-SEC-A,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M014,FOUNDATION_MEMBER,,17,18,17|18,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,ND_DOCUMENTARY_COVERAGE,,ND_DOCUMENTARY_COVERAGE,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence; no direct autonomous TAV-01A section/longitudinal-reinforcement binding.
FND-P07-M015,FOUNDATION_MEMBER,,18,19,18|19,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,ND_DOCUMENTARY_COVERAGE,,ND_DOCUMENTARY_COVERAGE,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence; no direct autonomous TAV-01A section/longitudinal-reinforcement binding.
FND-P07-M016,FOUNDATION_MEMBER,,19,20,19|20,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,ND_DOCUMENTARY_COVERAGE,,ND_DOCUMENTARY_COVERAGE,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence; no direct autonomous TAV-01A section/longitudinal-reinforcement binding.
FND-P07-M017,FOUNDATION_MEMBER,,21,22,21|22,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,ND_DOCUMENTARY_COVERAGE,,ND_DOCUMENTARY_COVERAGE,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence; no direct autonomous TAV-01A section/longitudinal-reinforcement binding.
FND-P07-M018,FOUNDATION_MEMBER,,22,22bis,22|22bis,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,ND_DOCUMENTARY_COVERAGE,,ND_DOCUMENTARY_COVERAGE,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence; no direct autonomous TAV-01A section/longitudinal-reinforcement binding.
FND-P07-M019,FOUNDATION_MEMBER,,22bis,23,22bis|23,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,ND_DOCUMENTARY_COVERAGE,,ND_DOCUMENTARY_COVERAGE,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence; no direct autonomous TAV-01A section/longitudinal-reinforcement binding.
FND-P07-M020,FOUNDATION_MEMBER,,23,24,23|24,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,ND_DOCUMENTARY_COVERAGE,,ND_DOCUMENTARY_COVERAGE,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence; no direct autonomous TAV-01A section/longitudinal-reinforcement binding.
FND-P07-M021,FOUNDATION_MEMBER,,a,b,a|b,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G06,FND-SEC-B,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M022,FOUNDATION_MEMBER,,b,25,b|25,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G06,FND-SEC-B,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M023,FOUNDATION_MEMBER,,26,27,26|27,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G06,FND-SEC-A,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M024,FOUNDATION_MEMBER,,c,d,c|d,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G06,FND-SEC-B,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
FND-P07-M025,FOUNDATION_MEMBER,,d,28,d|28,ND,ND,ND,ZF_COMMON,P07_PRIMARY_CROSS_VALIDATED,REVALIDATED_MATCH,DIRECT_TAV01A_PRIMARY_MATCH,F1A-G06,FND-SEC-B,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,P07 primary incidence with direct TAV-01A property binding.
