connection_id,tavola_id,node_i,node_j,node_i_type,node_j_type,topology_status,evidence_status,confidence,beam_type,section_b_cm,section_h_cm,source_basis,supersedes,notes
T05-C035,TAV-05S,P19,P20,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,ND,,,"linea strutturale continua P19-P20",v5:T05-C035,"sezione ND"
T05-C036,TAV-05S,P20,P11,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,70,20,"continuita strutturale + quota 70/richiamo 20",v5:T05-C036,""
T05-C037,TAV-05S,P25,P26,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120",v5:T05-C037,""
T05-C038,TAV-05S,P26,P27,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120",v5:T05-C038,""
T05-C039,TAV-05S,P22,P14,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"linea strutturale continua P22-P14 con quota 50/richiamo 20",v5:T05-C039,""
T05-C040,TAV-05S,P23,P15,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"linea strutturale continua P23-P15 con quota 50/richiamo 20",v5:T05-C040,"offset P23"
T05-C041,TAV-05S,P24,P16,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"bordo inferiore continuo P24-P16; quote 25/70",v5:T05-C041,""
T05-C042,TAV-05S,P21,P13,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"linea strutturale continua P21-P13; simbolo 50/20",v5:T05-C042,""
T05-C043,TAV-05S,P20,P21,SUPPORT,SUPPORT,VERIFIED,DOC+RIF,HIGH,TRAVE_A_SPESSORE,120,20,"percorso continuo P20-P21; simbolo trasversale 120/20 visibile sulla tratta",,"NUOVA: connessione segnalata dall'utente e verificata sul raster"
T05-C044,TAV-05S,P09,P10,SUPPORT,SUPPORT,VERIFIED,DOC+RIF,HIGH,TRAVE_A_SPESSORE,120,20,"trave principale P09-P16; simbolo 120/20 trasversale all'asse",,"NUOVA: prima campata della catena"
T05-C045,TAV-05S,P10,P11,SUPPORT,SUPPORT,VERIFIED,DOC+RIF,HIGH,TRAVE_A_SPESSORE,120,20,"trave principale P09-P16; continuita del filo; simbolo 120/20 trasversale",,"NUOVA"
T05-C046,TAV-05S,P11,P12,SUPPORT,SUPPORT,VERIFIED,DOC+RIF,HIGH,TRAVE_A_SPESSORE,120,20,"trave principale P09-P16; continuita del filo; simbolo 120/20 trasversale",,"NUOVA"
T05-C047,TAV-05S,P12,J05E,SUPPORT,BEAM_JUNCTION,VERIFIED,DOC+RIF,HIGH,TRAVE_A_SPESSORE,120,20,"trave principale P09-P16 continua da P12 al nodo di intersezione J05E",,"NUOVA; sostituisce l'errato P12-P04"
T05-C048,TAV-05S,J05E,P13,BEAM_JUNCTION,SUPPORT,VERIFIED,DOC+RIF,HIGH,TRAVE_A_SPESSORE,120,20,"trave principale P09-P16 continua dal nodo J05E verso P13 con cambio di allineamento",,"NUOVA; percorso non va rettificato artificialmente"
T05-C049,TAV-05S,P13,P14,SUPPORT,SUPPORT,VERIFIED,DOC+RIF,HIGH,TRAVE_A_SPESSORE,120,20,"trave principale P09-P16; continuita del filo; simbolo 120/20 trasversale",,"NUOVA"
T05-C050,TAV-05S,P14,P15,SUPPORT,SUPPORT,VERIFIED,DOC+RIF,HIGH,TRAVE_A_SPESSORE,120,20,"trave principale P09-P16; continuita del filo; simbolo 120/20 trasversale",,"NUOVA"
T05-C051,TAV-05S,P15,P16,SUPPORT,SUPPORT,VERIFIED,DOC+RIF,HIGH,TRAVE_A_SPESSORE,120,20,"trave principale P09-P16; continuita del filo; simbolo 120/20 trasversale",,"NUOVA: ultima campata della catena"
T05-C052,TAV-05S,P05,J05E,SUPPORT,BEAM_JUNCTION,VERIFIED,DOC+RIF,HIGH,TRAVE_A_SPESSORE,50,20,"trave da P05 verso est; simbolo 50/20; termina sulla trave principale P09-P16 in J05E",v5:T05-C024,"CORREZIONE: P12-P04 SUPERATA; la sezione 50x20 appartiene alla trave P05-J05E"
