support_id,x_m,y_m,x_status,y_status,axis_x,axis_y,overall_status,note
25,3.45,8.95,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY_ALIGNMENT,X_L1,Y_LEFT_UPPER,WORKING_SOLVED,"X from c-a/28-25; Y from C2 vertical chain tied through Y_MID."
26,3.45,15.20,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY_ALIGNMENT,X_L1,Y_MID,WORKING_SOLVED,"Documented left mesh and shared mid row."
27,3.45,19.28,SOLVED_DOCUMENTARY,SUPPORTED_MIS_SHARED_ROW,X_L1,Y_ROW7,WORKING_SUPPORTED_MIS,"P27 shares observed row with P22-prime; Y inherited from MIS-supported P22-prime ordinate 19.28 m. Not DOC."
28,0.00,8.95,SOLVED_ANCHOR_ALIGNMENT,SOLVED_DOCUMENTARY_ALIGNMENT,X_L0,Y_LEFT_UPPER,WORKING_SOLVED,"Shared X anchor line c/d-P28/P29."
29,0.00,15.20,SOLVED_ANCHOR_ALIGNMENT,SOLVED_DOCUMENTARY_ALIGNMENT,X_L0,Y_MID,WORKING_SOLVED,"Shared X anchor line; C2 vertical chain."
30,0.00,,SUPPORTED_EXTENDED_CENTERLINE,UNRESOLVED_EXTENDED_REFERENCE,X_P30_CENTER,Y_P30_ROW,WORKING_PARTIAL,"Extended 30x110; X centerline nearly coincident with X_L0 and retained as supported pending residual; Y unresolved."
31,-4.70,8.95,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY_ALIGNMENT,X_LFAR,Y_LEFT_UPPER,WORKING_SOLVED,"31-28=4.70; Y from 31-32=6.25 relative to Y_MID."
32,-4.70,15.20,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY_ALIGNMENT,X_LFAR,Y_MID,WORKING_SOLVED,"External left column."
33,-4.70,20.15,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY,X_LFAR,Y_LEFT_LOWER,WORKING_SOLVED,"32-33=4.95."
a,3.45,0.00,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY,X_L1,Y_TOP,WORKING_SOLVED,"Terrace support 30x30; c-a=3.45."
b,3.45,4.70,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY,X_L1,Y_ROW1,WORKING_SOLVED,"Terrace support 30x30; a-b=4.70."
c,0.00,0.00,SOLVED_ANCHOR,SOLVED_ANCHOR,X_L0,Y_TOP,WORKING_SOLVED,"Conventional metric origin."
d,0.00,4.70,SOLVED_ANCHOR_ALIGNMENT,SOLVED_DOCUMENTARY,X_L0,Y_ROW1,WORKING_SOLVED,"c-d=4.70."
