support_id,u_native_px,v_native_px,registration_state,evidence_class,primary_binding_id,primary_tile,crosscheck_tile,crosscheck_delta_px,geometry_kind,section_geometry_status,canonical_status,may_feed_metric_network,note
22,2139.09,5665.91,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R3C2-P22-001,r3_c2,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B; ID 22 direttamente leggibile."
22',2133.09,5852.40,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R3C2-P22P-001,r3_c2,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B; 22-prime distinto da 22."
23,2076.60,6491.39,CROSS_VALIDATED_EXTENDED,DOC_DIRECT_RASTER,BIND-R3C2-P23-001,r3_c2,r4_c2,0.32,EXTENDED_SUPPORT_CENTER,FOOTPRINT_CROSS_VALIDATED,CURRENT,YES,"G1 Classe A esteso; sagoma 110x30."
24,2031.19,7246.75,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R4C2-P24-001,r4_c2,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
25,1804.14,4200.73,CROSS_VALIDATED,DOC_DIRECT_RASTER,BIND-R2C2-P25-001,r2_c2,r3_c2,0.58,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe A."
26,1806.15,5192.41,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R3C2-P26-001,r3_c2,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
27,1808.65,5844.90,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R3C2-P27-001,r3_c2,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B; identificazione corretta a P27 prima della promozione."
28,1260.05,4205.15,CROSS_VALIDATED,DOC_DIRECT_RASTER,BIND-R2C1-P28-001,r2_c1,r3_c1,0.66,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe A."
29,1262.14,5198.42,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R3C1-P29-001,r3_c1,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
30,1265.81,5916.13,DIRECT_REGISTERED_EXTENDED,DOC_DIRECT_RASTER,BIND-R3C1-P30-001,r3_c1,,,EXTENDED_SUPPORT_CENTER,FOOTPRINT_DIRECT_REGISTERED,CURRENT,YES,"G1 Classe B esteso; sagoma 30x110 registrata separatamente."
31,518.30,4206.86,CROSS_VALIDATED,DOC_DIRECT_RASTER,BIND-R2C1-P31-001,r2_c1,r3_c1,0.60,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe A."
32,510.40,5202.53,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R3C1-P32-001,r3_c1,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
33,523.31,5983.11,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R3C1-P33-001,r3_c1,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
a,1805.14,2812.18,DIRECT_REGISTERED,DOC_DIRECT_RASTER,TERRACE-a,r2_c2,,,SUPPORT_SYMBOL_CENTER,SECTION_30x30_DIRECT,CURRENT,YES,"Pilastro terrazzo 30x30 presente in carpenteria e assente dal calcolo storico; G1 Classe B."
b,1806.14,3566.21,DIRECT_REGISTERED,DOC_DIRECT_RASTER,TERRACE-b,r2_c2,,,SUPPORT_SYMBOL_CENTER,SECTION_30x30_DIRECT,CURRENT,YES,"Pilastro terrazzo 30x30 presente in carpenteria e assente dal calcolo storico; G1 Classe B."
c,1262.79,2815.83,DIRECT_REGISTERED,DOC_DIRECT_RASTER,TERRACE-c,r2_c1,,,SUPPORT_SYMBOL_CENTER,SECTION_30x30_DIRECT,CURRENT,YES,"Pilastro terrazzo 30x30 presente in carpenteria e assente dal calcolo storico; G1 Classe B."
d,1260.29,3568.00,DIRECT_REGISTERED,DOC_DIRECT_RASTER,TERRACE-d,r2_c1,,,SUPPORT_SYMBOL_CENTER,SECTION_30x30_DIRECT,CURRENT,YES,"Pilastro terrazzo 30x30 presente in carpenteria e assente dal calcolo storico; G1 Classe B."
