beam_id,node_i,node_j,geometry_role,section_hint,source_tile_primary,source_tile_crosscheck,evidence_status,continuity_status,canonical_status,note
B-023,31,32,LEFT_COL_0,70x25,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_SECTION_BOUND,CONTINUOUS,PROVISIONAL_DOC,"quota longitudinale 6.25; simbolo 70x25 lungo il filo"
B-024,32,33,LEFT_COL_0,70x25,TAV-02S_L1_R03C01,,DOC_SECTION_BOUND,CONTINUOUS,PROVISIONAL_DOC,"quota longitudinale 4.95; simbolo 70x25 lungo il filo"
B-025,28,29,LEFT_COL_1,,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita longitudinale visibile"
B-026,29,30,LEFT_COL_1,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita longitudinale; P30 sostegno allungato"
B-027,25,26,LEFT_COL_2,,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita longitudinale visibile"
B-028,26,27,LEFT_COL_2,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita longitudinale visibile"
B-029,19,21,LEFT_COL_3,,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"filo di raccordo del corpo principale sinistro"
B-030,21,22,LEFT_COL_3,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita fino al nodo 22"
B-031,23,15,LOWER_ROW_1,,TAV-02S_L1_R04C01,TAV-02S_L1_R04C02,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"raccordo inferiore; distanza 6.45; P23 110x30 richiede attestazione a faccia"
B-032,15,7,LOWER_ROW_1,,TAV-02S_L1_R04C02,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"raccordo inferiore destro; 4.65"
B-033,24,16,LOWER_ROW_2,,TAV-02S_L1_R04C01,TAV-02S_L1_R04C02,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"riga inferiore; 6.45"
B-034,16,8,LOWER_ROW_2,,TAV-02S_L1_R04C02,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"riga inferiore; 4.65"
B-035,23,24,LOWER_COL_LEFT,,TAV-02S_L1_R04C01,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"prolungamento longitudinale del filo P23-P24; P23 non trattato come nodo puntuale nelle attestazioni"
B-036,15,16,LOWER_COL_MID,,TAV-02S_L1_R04C02,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita verticale tra le due righe inferiori"
B-037,7,8,LOWER_COL_RIGHT,,TAV-02S_L1_R03C02,TAV-02S_L1_R04C02,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"prolungamento della catena principale destra"
B-038,18,10,MID_ROW_1,,TAV-02S_L1_R02C02,TAV-02S_L1_R02C01,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita orizzontale chiaramente visibile sulla seconda fila"
B-039,10,2,MID_ROW_1,,TAV-02S_L1_R02C02,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita orizzontale fino alla catena destra"
B-040,20,11,MID_ROW_2,,TAV-02S_L1_R02C02,TAV-02S_L1_R03C02,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"fila orizzontale inferiore chiaramente visibile; non confondere P20 con P19"
B-041,11,3,MID_ROW_2,,TAV-02S_L1_R02C02,TAV-02S_L1_R03C02,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita fino al pilastro 3"
B-042,9,10,INNER_COL_RIGHT,,TAV-02S_L1_R02C02,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita verticale sul filo 9-10"
B-043,10,11,INNER_COL_RIGHT,,TAV-02S_L1_R02C02,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita verticale sul filo 10-11"
B-044,12,5,MID_ROW_3,,TAV-02S_L1_R03C02,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"tratto orizzontale visibile nella fila 12-5-4"
B-045,14,6,LOWER_RIGHT_CROSS,,TAV-02S_L1_R03C02,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"raccordo orizzontale verso la catena destra; quota 4.65"
B-046,14,15,INNER_COL_LOWER,65x30,TAV-02S_L1_R03C02,TAV-02S_L1_R04C02,DOC_SECTION_BOUND,CONTINUOUS,PROVISIONAL_DOC,"continuita verticale; simbolo sezione 65x30 leggibile sulla campata"
B-047,22,22',LOCAL_PRIME_LINK,,TAV-02S_L1_R03C01,,DOC_CONTINUITY_MIS_LENGTH,CONTINUOUS,PROVISIONAL_DOC,"stesso filo verticale; centro 22-prime circa 1.20 m sotto 22 da calibrazione raster; lunghezza MIS, non quota scritta"
B-048,11,12,CENTRAL_BENT_CHAIN,120x20,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,CONTINUOUS,PROVISIONAL_DOC,"primo tratto della catena spezzata centrale; richiamo 120x20 interposto"
B-049,12,13,CENTRAL_BENT_CHAIN,120x20,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,CONTINUOUS,PROVISIONAL_DOC,"tratto inclinato centrale; rettangolo 120x20 e continuita grafica riconoscibili"
B-050,13,14,CENTRAL_BENT_CHAIN,120x20,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,CONTINUOUS,PROVISIONAL_DOC,"tratto successivo della catena centrale; richiamo 120x20"
B-051,20,21,CENTRAL_DIAGONAL,65x30,TAV-02S_L1_R03C01,TAV-02S_L1_R03C02,DOC_SECTION_BOUND,CONTINUOUS,PROVISIONAL_DOC,"raccordo inclinato tra P20 e P21; sezione 65x30 leggibile sul tratto"
