beam_id,storey_id,source_sheet,from_support_id,to_support_id,direction_class,section_cm,section_evidence_status,topology_evidence_status,from_support_face,to_support_face,primary_source_id,render_evidence,validation_state,note
G4-B013,G4,TAV-05S,8,16,X,25x70,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B014,G4,TAV-05S,9,10,Y,120x20,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,TAV-05S directly labels this in-slab beam class 120x20.
G4-B015,G4,TAV-05S,10,11,Y,120x20,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,TAV-05S directly labels this in-slab beam class 120x20.
G4-B016,G4,TAV-05S,11,12,Y,120x20,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,TAV-05S directly labels this in-slab beam class 120x20.
G4-B017,G4,TAV-05S,13,14,Y,120x20,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,TAV-05S directly labels this in-slab beam class 120x20.
G4-B018,G4,TAV-05S,14,15,Y,120x20,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,TAV-05S directly labels this in-slab beam class 120x20.
G4-B019,G4,TAV-05S,15,16,Y,120x20,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,TAV-05S directly labels this in-slab beam class 120x20.
G4-B020,G4,TAV-05S,11,20,X,50x20,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B021,G4,TAV-05S,10,18,X,50x20,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B022,G4,TAV-05S,9,17,X,25x70,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B023,G4,TAV-05S,13,21,X,50x20,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B024,G4,TAV-05S,14,22,X,50x20,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B025,G4,TAV-05S,15,23,X,50x20,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B026,G4,TAV-05S,16,24,X,25x70,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B027,G4,TAV-05S,19,20,Y,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,Short span on an uninterrupted TAV-05S beam run; same-member callout only.
G4-B028,G4,TAV-05S,18,19,Y_WITH_OFFSET,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B029,G4,TAV-05S,17,18,Y_WITH_OFFSET,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B030,G4,TAV-05S,19,25,X,25x70,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B031,G4,TAV-05S,21,22,Y,50x20,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B032,G4,TAV-05S,22,22',Y,50x20,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,Short span on an uninterrupted TAV-05S beam run; same-member callout only.
G4-B033,G4,TAV-05S,22',23,Y_WITH_OFFSET,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B034,G4,TAV-05S,23,24,Y_WITH_OFFSET,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B035,G4,TAV-05S,21,26,X,120x20,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,TAV-05S directly labels this in-slab beam class 120x20.
G4-B036,G4,TAV-05S,22',27,X,25x70,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B037,G4,TAV-05S,25,26,Y,50x20,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B038,G4,TAV-05S,26,27,Y,50x20,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B039,G4,TAV-05S,25,28,X,25x70,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B040,G4,TAV-05S,26,29,X,120x20,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,TAV-05S directly labels this in-slab beam class 120x20.
G4-B041,G4,TAV-05S,27,30,X_WITH_OFFSET,25x70,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B042,G4,TAV-05S,28,29,Y,50x20,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B043,G4,TAV-05S,29,30,Y,50x20,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B044,G4,TAV-05S,28,31,X,25x70,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B045,G4,TAV-05S,29,32,X,120x20,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,TAV-05S directly labels this in-slab beam class 120x20.
G4-B046,G4,TAV-05S,30,33,X_WITH_OFFSET,25x70,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B047,G4,TAV-05S,31,32,Y,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B048,G4,TAV-05S,32,33,Y,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
