frame_id,connection_id,joint_i,joint_j,section_id,assignment_status,evidence_status,confidence,offset_ref,axis_policy,notes
F-T05-025B,T05-C025B,J-P05,J-P06,BM_25x70,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,
F-T05-026,T05-C026,J-P14,J-P06,BM_50x20,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,Trave a spessore
F-T05-027,T05-C027,J-P06,J-P07,BM_25x70,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-028,T05-C028,J-P15,J-P07,BM_50x20,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,Trave a spessore
F-T05-029,T05-C029,J-P07,J-P08,BM_25x70,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,
F-T05-030,T05-C030,J-P16,J-P08,BM_25x70,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-031,T05-C031,J-P17,J-P09,BM_25x70,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-032,T05-C032,J-P17,J-P18,BM_25x70,READY,DOC,HIGH,OFF-P18-C032,PRESERVE_PHYSICAL_AXIS_WITH_TERMINAL_OFFSET,offset P18
F-T05-033,T05-C033,J-P18,J-P10,BM_120x20,READY,DOC,HIGH,OFF-P18-C033,PRESERVE_PHYSICAL_AXIS_WITH_TERMINAL_OFFSET,Trave a spessore; offset P18
F-T05-034,T05-C034,J-P18,J-P19,BM_25x70,READY,DOC,HIGH,OFF-P18-C034,PRESERVE_PHYSICAL_AXIS_WITH_TERMINAL_OFFSET,offset P18
F-T05-035,T05-C035,J-P19,J-P20,BM_25x70,READY,RIF,HIGH,,DIRECT_JOINT_AXIS,Sezione 25x70 consolidata dall'utente; geometria invariata
F-T05-036,T05-C036,J-P20,J-P11,BM_70x20,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,Trave a spessore
F-T05-037,T05-C037,J-P25,J-P26,BM_50x120,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-038,T05-C038,J-P26,J-P27,BM_50x120,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-039,T05-C039,J-P22,J-P14,BM_50x20,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,Trave a spessore
F-T05-040,T05-C040,J-P23,J-P15,BM_50x20,READY,DOC,HIGH,OFF-P23-C040,PRESERVE_PHYSICAL_AXIS_WITH_TERMINAL_OFFSET,Trave a spessore; offset P23
F-T05-041,T05-C041,J-P24,J-P16,BM_25x70,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-042,T05-C042,J-P21,J-P13,BM_50x20,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,Trave a spessore
F-T05-043,T05-C043,J-P20,J-P21,BM_120x20,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,Nuova trave a spessore P20-P21
F-T05-044,T05-C044,J-P09,J-P10,BM_120x20,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,Catena principale P09-P16
F-T05-045,T05-C045,J-P10,J-P11,BM_120x20,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,Catena principale P09-P16
F-T05-046,T05-C046,J-P11,J-P12,BM_120x20,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,Catena principale P09-P16
F-T05-047,T05-C047,J-P12,J-J05E,BM_120x20,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,Catena principale P09-P16
F-T05-048,T05-C048,J-J05E,J-P13,BM_120x20,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,Catena principale P09-P16; cambio allineamento
F-T05-049,T05-C049,J-P13,J-P14,BM_120x20,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,Catena principale P09-P16
F-T05-050,T05-C050,J-P14,J-P15,BM_120x20,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,Catena principale P09-P16
F-T05-051,T05-C051,J-P15,J-P16,BM_120x20,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,Catena principale P09-P16
F-T05-052,T05-C052,J-P05,J-J05E,BM_50x20,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,P05 termina sulla trave P09-P16; non su P12/P04
