beam_id,storey_id,source_sheet,from_support_id,to_support_id,direction_class,section_width_cm,section_depth_cm,section_cm,section_evidence_status,section_source_rule,topology_evidence_status,from_support_face,to_support_face,primary_source_id,primary_source_path,primary_source_blob_sha,primary_source_sha256,render_evidence,validation_state,note
G2-B032,G2,TAV-03S,22,22',Y,50,20,50x20,DOC,CONTINUOUS_MEMBER_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,Short support-to-support span on a continuous TAV-03S beam run; section carried only along the same directly traced member with no change symbol.
G2-B033,G2,TAV-03S,22',23,Y_WITH_OFFSET,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,Direct source beam trace is slightly oblique in registered common XY; incidence face uses dominant documented run direction.
G2-B034,G2,TAV-03S,23,24,Y_WITH_OFFSET,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,Direct source beam trace is slightly oblique in registered common XY; incidence face uses dominant documented run direction.
G2-B035,G2,TAV-03S,21,26,X,140,20,140x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B036,G2,TAV-03S,22',27,X,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B037,G2,TAV-03S,25,26,Y,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B038,G2,TAV-03S,26,27,Y,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B039,G2,TAV-03S,25,28,X,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B040,G2,TAV-03S,26,29,X,140,20,140x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B041,G2,TAV-03S,27,30,X_WITH_OFFSET,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,Direct source beam trace is slightly oblique in registered common XY; incidence face uses dominant documented run direction.
G2-B042,G2,TAV-03S,28,29,Y,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B043,G2,TAV-03S,29,30,Y_WITH_OFFSET,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,Direct source beam trace is slightly oblique in registered common XY; incidence face uses dominant documented run direction.
G2-B044,G2,TAV-03S,28,31,X,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B045,G2,TAV-03S,29,32,X,140,20,140x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B046,G2,TAV-03S,30,33,X_WITH_OFFSET,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,Direct source beam trace is slightly oblique in registered common XY; incidence face uses dominant documented run direction.
G2-B047,G2,TAV-03S,31,32,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B048,G2,TAV-03S,32,33,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
