entity_id,entity_type,x_m,y_m,relation_or_chain,evidence,status,note
25,NUMBERED_PILLAR,,,LEFT_BLOCK_IDENTITY,"TAV-02S high-resolution",DOC_ID_ONLY,"identità presente; coordinate globali non promosse"
26,NUMBERED_PILLAR,,,LEFT_BLOCK_IDENTITY,"TAV-02S q3 high-resolution crop",DOC_DIRECT_ID,"numero 26 leggibile"
27,NUMBERED_PILLAR,,,LEFT_BLOCK_IDENTITY,"TAV-02S q3 high-resolution crop",DOC_DIRECT_ID,"numero 27 leggibile"
28,NUMBERED_PILLAR,,,LEFT_BLOCK_IDENTITY,"TAV-02S high-resolution",DOC_ID_ONLY,"coordinate precedenti non più considerate canoniche"
29,NUMBERED_PILLAR,,,LEFT_BLOCK_IDENTITY,"TAV-02S q3 high-resolution crop",DOC_DIRECT_ID,"numero 29 leggibile"
30,NUMBERED_PILLAR,,,LEFT_BLOCK_IDENTITY,"TAV-02S q3 high-resolution crop",DOC_DIRECT_ID,"numero 30 leggibile"
31,NUMBERED_PILLAR,,,LEFT_BLOCK_IDENTITY,"TAV-02S high-resolution",DOC_ID_ONLY,"coordinate precedenti non più considerate canoniche"
32,NUMBERED_PILLAR,,,LEFT_BLOCK_PAIR_32_33,"TAV-02S high-resolution; quota 4.95 tra i fili",DOC_DIRECT_ID,"numero 32 leggibile; coppia quotata con 33"
33,NUMBERED_PILLAR,,,LEFT_BLOCK_PAIR_32_33,"TAV-02S high-resolution; quota 4.95 tra i fili",DOC_DIRECT_ID,"numero 33 leggibile; coppia quotata con 32"
a,TERRACE_ADDED_PILLAR,,,TERRACE_LETTERED,"TAV-02S high-resolution",DOC_ID_ONLY,"identità certa; posizione precisa da congelare solo dopo lettura definitiva delle lettere sulle due righe superiori"
b,TERRACE_ADDED_PILLAR,,,TERRACE_LETTERED,"TAV-02S high-resolution",DOC_ID_ONLY,"identità certa; posizione precisa da congelare"
c,TERRACE_ADDED_PILLAR,,,TERRACE_LETTERED,"TAV-02S high-resolution",DOC_ID_ONLY,"identità certa; posizione precisa da congelare"
d,TERRACE_ADDED_PILLAR,,,TERRACE_LETTERED,"TAV-02S high-resolution",DOC_ID_ONLY,"identità certa; posizione precisa da congelare"
CHAIN,QUOTED_CHAIN,,,LEFT_BOTTOM_1,"4.70 m",DOC_QUOTATO_UNMAPPED,"segmento letto sulla catena inferiore sinistra; estremi nodali da mappare"
CHAIN,QUOTED_CHAIN,,,LEFT_BOTTOM_2,"3.45 m",DOC_QUOTATO_UNMAPPED,"segmento letto sulla catena inferiore sinistra; estremi nodali da mappare"
CHAIN,QUOTED_CHAIN,,,LEFT_BOTTOM_3,"2.10 m",DOC_QUOTATO_UNMAPPED,"segmento letto sulla catena inferiore sinistra; estremi nodali da mappare"
