ledger_id,claim_id,claim_class,source_id,evidence_anchor,upstream_evidence,asserted_value,unit,evidence_state,validation_state,promotion_status,geometry_use,adjudication_state,residual_id,blocking,note
P07-L-034,P04-ID-034,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C01,P04-ID-034,33,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-035,P04-ID-035,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C02,P04-ID-035,a,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-036,P04-ID-036,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C02,P04-ID-036,b,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-037,P04-ID-037,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C01,P04-ID-037,c,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-038,P04-ID-038,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C01,P04-ID-038,d,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-039,P04-IDREL-001,DISTINCT_IDENTIFIER_RELATION,TAV-01S,P001-TILE-R03-C02,P04-IDREL-001,22|22bis,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Reader A directly records simultaneous distinct labels; no support count target used.
P07-L-040,P04-DIM-001,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R02-C03,P04-DIM-001,14.35,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,MATCH_VALUE_B_LOW_CONFIDENCE,,false,Reader A governs; B independently reads same value but remains INC.
P07-L-041,P04-DIM-002,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R02-C03,P04-DIM-002,4.70,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,MATCH,,false,Same evidence anchor and same written value.
P07-L-042,P04-DIM-003,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R02-C03,P04-DIM-003,5.10,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Direct A value; B does not independently recover it.
P07-L-043,P04-DIM-004,WRITTEN_DIMENSION,TAV-01S,P001-REGION-R02-C02,P04-DIM-004,14.55,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Fold interference noted by A; written value remains legible.
P07-L-044,P04-DIM-005,WRITTEN_DIMENSION,TAV-01S,P001-REGION-R02-C02,P04-DIM-005,4.15,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Span membership unresolved inside folded band.
P07-L-045,P04-DIM-006,WRITTEN_DIMENSION,TAV-01S,P001-REGION-R02-C02,P04-DIM-006,4.25,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Span membership unresolved inside folded band.
P07-L-046,P04-DIM-007,WRITTEN_DIMENSION,TAV-01S,P001-REGION-R02-C02,P04-DIM-007,5.30,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Span membership unresolved inside folded band.
P07-L-047,P04-DIM-008,WRITTEN_DIMENSION,TAV-01S,P001-REGION-R02-C02,P04-DIM-008,4.70,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Span membership unresolved inside folded band.
P07-L-048,P04-DIM-009,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R02-C01,P04-DIM-009,20.30,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,B has unpaired 22.30 candidate on same tile; no pairing is assumed without witness alignment.
P07-L-049,P04-DIM-010,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R02-C01,P04-DIM-010,4.70,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Direct A value.
P07-L-050,P04-DIM-011,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R02-C01,P04-DIM-011,4.05,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Direct A value.
P07-L-051,P04-DIM-012,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R03-C01,P04-DIM-012,20.30,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Direct A value.
P07-L-052,P04-DIM-013,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R03-C01,P04-DIM-013|P06-ADJ-016,6.25,UNSPECIFIED_ON_DRAWING,DOC,CROSS_VALIDATED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,RESOLVED_TO_DIRECT_DOC_A,,false,Reader disagreement retained; A direct visual DOC governs provisionally but claim requires P06 local adjudication before geometry promotion. P06: RESOLVED_TO_DIRECT_DOC_A — Use 6.25; preserve 6.26 as superseded RIF.
P07-L-053,P04-DIM-014,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R03-C01,P04-DIM-014|P06-ADJ-017,4.95,UNSPECIFIED_ON_DRAWING,DOC,CROSS_VALIDATED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,RESOLVED_TO_DIRECT_DOC_A,,false,Reader disagreement retained; no averaging or majority rule. P06: RESOLVED_TO_DIRECT_DOC_A — Use 4.95; preserve 4.96 as superseded INC.
P07-L-054,P04-DIM-015,WRITTEN_DIMENSION,TAV-01S,P001-REGION-R01-C01,P04-DIM-015,23.20,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Direct A vertical dimension.
P07-L-055,P04-DIM-016,WRITTEN_DIMENSION,TAV-01S,P001-REGION-R01-C01,P04-DIM-016,5.50,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Direct A vertical segment.
P07-L-056,P04-DIM-017,WRITTEN_DIMENSION,TAV-01S,P001-REGION-R01-C01,P04-DIM-017,3.45,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Direct A vertical segment.
P07-L-057,P04-DIM-018,WRITTEN_DIMENSION,TAV-01S,P001-REGION-R01-C01,P04-DIM-018,3.45,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Second direct A vertical segment.
P07-L-058,P04-DIM-019,WRITTEN_DIMENSION,TAV-01S,P001-REGION-R01-C01,P04-DIM-019,4.70,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Direct A vertical segment.
P07-L-059,P04-DIM-020,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R02-C02,P04-DIM-020,5.60,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,No total span associated at P04.
P07-L-060,P04-DIM-021,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R03-C02,P04-DIM-021,4.45,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,PARTIAL_MATCH_UNPAIRED_B_CANDIDATE,,false,B independently reads 4.45 on adjacent tile R03-C03; no identity of witness span is assumed.
P07-L-061,P04-DIM-022,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R04-C02,P04-DIM-022,13.60,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Direct A vertical overall.
P07-L-062,P04-DIM-023,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R04-C02,P04-DIM-023,2.00,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Direct A vertical segment.
P07-L-063,P04-DIM-024,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R04-C02,P04-DIM-024,4.65,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Direct A vertical segment.
P07-L-064,P04-DIM-025,WRITTEN_DIMENSION,TAV-01S,P001-TILE-R04-C02,P04-DIM-025,6.45,UNSPECIFIED_ON_DRAWING,DOC,SUPPORTED,CURRENT_PRIMARY_TEXT_CLAIM,TEXT_VALUE_ONLY_WITNESS_ENDPOINT_BINDING_REQUIRED,NOT_VISIBLE_B,,false,Direct A vertical segment.
P07-L-065,P04-DTL-001,DETAIL_DIMENSION,TAV-01S,P001-TILE-R02-C02,P04-DTL-001,45,UNSPECIFIED_ON_DRAWING,DOC,CURRENT,CURRENT_PRIMARY_DETAIL_TEXT,NONPLAN_DETAIL_EXCLUDED_FROM_PLAN_GEOMETRY,NOT_VISIBLE_B,,false,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P07-L-066,P04-DTL-002,DETAIL_DIMENSION,TAV-01S,P001-TILE-R02-C02,P04-DTL-002,90,UNSPECIFIED_ON_DRAWING,DOC,CURRENT,CURRENT_PRIMARY_DETAIL_TEXT,NONPLAN_DETAIL_EXCLUDED_FROM_PLAN_GEOMETRY,NOT_VISIBLE_B,,false,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P07-L-067,P04-DTL-003,DETAIL_DIMENSION,TAV-01S,P001-TILE-R02-C02,P04-DTL-003,120,UNSPECIFIED_ON_DRAWING,DOC,CURRENT,CURRENT_PRIMARY_DETAIL_TEXT,NONPLAN_DETAIL_EXCLUDED_FROM_PLAN_GEOMETRY,NOT_VISIBLE_B,,false,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P07-L-068,P04-DTL-004,DETAIL_DIMENSION,TAV-01S,P001-TILE-R02-C02,P04-DTL-004,20,UNSPECIFIED_ON_DRAWING,DOC,CURRENT,CURRENT_PRIMARY_DETAIL_TEXT,NONPLAN_DETAIL_EXCLUDED_FROM_PLAN_GEOMETRY,NOT_VISIBLE_B,,false,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P07-L-069,P04-DTL-005,DETAIL_DIMENSION,TAV-01S,P001-TILE-R02-C02,P04-DTL-005,95,UNSPECIFIED_ON_DRAWING,DOC,CURRENT,CURRENT_PRIMARY_DETAIL_TEXT,NONPLAN_DETAIL_EXCLUDED_FROM_PLAN_GEOMETRY,NOT_VISIBLE_B,,false,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P07-L-070,P04-DTL-006,DETAIL_DIMENSION,TAV-01S,P001-TILE-R02-C02,P04-DTL-006,70,UNSPECIFIED_ON_DRAWING,DOC,CURRENT,CURRENT_PRIMARY_DETAIL_TEXT,NONPLAN_DETAIL_EXCLUDED_FROM_PLAN_GEOMETRY,NOT_VISIBLE_B,,false,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P07-L-071,P04-DTL-007,DETAIL_DIMENSION,TAV-01S,P001-TILE-R02-C02,P04-DTL-007,15,UNSPECIFIED_ON_DRAWING,DOC,CURRENT,CURRENT_PRIMARY_DETAIL_TEXT,NONPLAN_DETAIL_EXCLUDED_FROM_PLAN_GEOMETRY,NOT_VISIBLE_B,,false,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P07-L-072,P04-DTL-008,DETAIL_DIMENSION,TAV-01S,P001-TILE-R02-C02,P04-DTL-008,35,UNSPECIFIED_ON_DRAWING,DOC,CURRENT,CURRENT_PRIMARY_DETAIL_TEXT,NONPLAN_DETAIL_EXCLUDED_FROM_PLAN_GEOMETRY,NOT_VISIBLE_B,,false,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P07-L-073,P04-DTL-009,DETAIL_DIMENSION,TAV-01S,P001-TILE-R02-C02,P04-DTL-009,100,UNSPECIFIED_ON_DRAWING,DOC,CURRENT,CURRENT_PRIMARY_DETAIL_TEXT,NONPLAN_DETAIL_EXCLUDED_FROM_PLAN_GEOMETRY,NOT_VISIBLE_B,,false,Preserved but excluded from plan metric network until detail role is explicitly bound downstream.
P07-L-074,P05-CAND-001,CONTINUITY_CHAIN,TAV-01S,P001-TILE-R02-C03,A-CONT-001|P06-ADJ-001,Pairwise transitions 1-2 and 2-3 are directly witnessed in the incidence sweep,,DOC,CROSS_VALIDATED,CURRENT_PRIMARY_CONTINUITY_CLAIM,PAIRWISE_INCIDENCE_AUTHORIZED_NO_CARTESIAN_COORDINATES,RESOLVED_BY_INCIDENCE_SWEEP,,false,No adjacency inference used.
P07-L-075,P05-CAND-002,CONTINUITY_CHAIN,TAV-01S,P001-TILE-R03-C02,A-CONT-002|P06-ADJ-002,Pairwise transitions 5-6 and 6-7 are directly witnessed,,DOC,CROSS_VALIDATED,CURRENT_PRIMARY_CONTINUITY_CLAIM,PAIRWISE_INCIDENCE_AUTHORIZED_NO_CARTESIAN_COORDINATES,RESOLVED_BY_INCIDENCE_SWEEP,,false,Direct contour evidence only.
