foundation_node_id,support_id,x_global_m,y_global_m,z_symbol,z_numeric_m,xy_source,z_evidence,current_state,note
FND-N-018,18,7.2240,4.7000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND; XY preserves extended support center."
FND-N-019,19,7.6318,8.9500,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-020,20,7.6318,9.8000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-021,21,5.5500,15.2000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-022,22,5.5500,18.1000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-022P,22',5.5500,19.2800,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"22 and 22-prime remain distinct nodes."
FND-N-023,23,5.2289,23.4000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND; XY preserves extended support center."
FND-N-024,24,5.0000,28.1000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-025,25,3.4500,8.9500,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-026,26,3.4500,15.2000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-027,27,3.4500,19.2800,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-028,28,0.0000,8.9500,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-029,29,0.0000,15.2000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-030,30,0.0000,19.7334,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND; XY preserves extended support center."
FND-N-031,31,-4.7000,8.9500,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-032,32,-4.7000,15.2000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-033,33,-4.7000,20.1500,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-A,a,3.4500,0.0000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Terrace-added support documented in foundation system."
FND-N-B,b,3.4500,4.7000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Terrace-added support documented in foundation system."
FND-N-C,c,0.0000,0.0000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Terrace-added support documented in foundation system."
FND-N-D,d,0.0000,4.7000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Terrace-added support documented in foundation system."
