obs_id,tile_id,u_px,v_px,semantic_class,node_i,node_j,quoted_value,graphic_continuity,evidence_status,source,note
OBS-Q01-014,UNBOUND_Q01,,,TEXT_OR_CALLOUT,6,,,50x40,,DOC_DIRECT,TAV-02S hires session crop q01,"dimensioni scritte associate al simbolo 6"
OBS-Q01-015,UNBOUND_Q01,,,PILLAR_SYMBOL,10,,,YES,DOC_DIRECT,TAV-02S hires session crop q01,"numero 10 leggibile nel simbolo; dimensioni associate 50 e 40"
OBS-Q01-016,UNBOUND_Q01,,,TEXT_OR_CALLOUT,10,,,50x40,,DOC_DIRECT,TAV-02S hires session crop q01,"dimensioni scritte associate al simbolo 10"
OBS-Q01-017,UNBOUND_Q01,,,PILLAR_SYMBOL,11,,,YES,DOC_DIRECT,TAV-02S hires session crop q01,"numero 11 leggibile nel simbolo; dimensioni associate 50 e 40"
OBS-Q01-018,UNBOUND_Q01,,,TEXT_OR_CALLOUT,11,,,50x40,,DOC_DIRECT,TAV-02S hires session crop q01,"dimensioni scritte associate al simbolo 11"
OBS-Q01-019,UNBOUND_Q01,,,PILLAR_SYMBOL,12,,,YES,DOC_DIRECT,TAV-02S hires session crop q01,"numero 12 leggibile nel simbolo; dimensioni associate 40 e 50"
OBS-Q01-020,UNBOUND_Q01,,,TEXT_OR_CALLOUT,12,,,40x50,,DOC_DIRECT,TAV-02S hires session crop q01,"dimensioni scritte associate al simbolo 12"
OBS-Q01-021,UNBOUND_Q01,,,PILLAR_SYMBOL,13,,,YES,DOC_DIRECT,TAV-02S hires session crop q01,"numero 13 leggibile nel simbolo; dimensioni associate 50 e 40"
OBS-Q01-022,UNBOUND_Q01,,,TEXT_OR_CALLOUT,13,,,50x40,,DOC_DIRECT,TAV-02S hires session crop q01,"dimensioni scritte associate al simbolo 13"
OBS-Q01-023,UNBOUND_Q01,,,PILLAR_SYMBOL,14,,,YES,DOC_DIRECT,TAV-02S hires session crop q01,"numero 14 leggibile nel simbolo; dimensioni associate 50 e 40"
OBS-Q01-024,UNBOUND_Q01,,,TEXT_OR_CALLOUT,14,,,50x40,,DOC_DIRECT,TAV-02S hires session crop q01,"dimensioni scritte associate al simbolo 14"
OBS-Q01-025,UNBOUND_Q01,,,TEXT_OR_CALLOUT,,,70x25,,DOC_DIRECT,TAV-02S hires session crop q01,"sigla dimensionale associata a elemento lineare; tipologia strutturale non ancora promossa"
OBS-Q01-026,UNBOUND_Q01,,,TEXT_OR_CALLOUT,,,120x20,,DOC_DIRECT,TAV-02S hires session crop q01,"sigla dimensionale associata a elemento lineare; tipologia strutturale non ancora promossa"
OBS-Q00-001,UNBOUND_Q00,,,PILLAR_SYMBOL,1,,,YES,DOC_DIRECT,TAV-02S hires session crop q00,"numero 1 leggibile nel simbolo"
OBS-Q00-002,UNBOUND_Q00,,,TEXT_OR_CALLOUT,1,,,40x50,,DOC_DIRECT,TAV-02S hires session crop q00,"dimensioni scritte associate al pilastro 1"
OBS-Q00-003,UNBOUND_Q00,,,DIMENSION_LINE,,,5.60,,DOC_DIRECT,TAV-02S hires session crop q00,"quota verticale scritta direttamente leggibile"
OBS-Q00-004,UNBOUND_Q00,,,PILLAR_SYMBOL,9,,,YES,DOC_DIRECT,TAV-02S hires session crop q00,"numero 9 leggibile nel simbolo"
OBS-Q00-005,UNBOUND_Q00,,,TEXT_OR_CALLOUT,9,,,40x50,,DOC_DIRECT,TAV-02S hires session crop q00,"dimensioni scritte associate al pilastro 9"
OBS-Q00-006,UNBOUND_Q00,,,DIMENSION_LINE,,,5.50,,DOC_DIRECT,TAV-02S hires session crop q00,"quota verticale scritta direttamente leggibile"
OBS-Q00-007,UNBOUND_Q00,,,TEXT_OR_CALLOUT,,,70x25,,DOC_DIRECT,TAV-02S hires session crop q00,"dimensioni scritte su elemento lineare; classificazione trave ancora vietata senza continuita/raccordo"
