candidate_id,from_support_id,to_support_id,tav01a_status,tav01s_status,binding_state,physical_member_projection,section_family_candidate,promotion_state,evidence_status,note
FND-C017,27,30,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,27-30,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C018,30,33,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,30-33,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C019,24,16,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,24-16,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C020,16,8,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,16-8,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C021,23,15,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,23-15,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C022,15,7,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,15-7,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C023,22,14,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,22-14,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,Preserve TAV-01A source variant: parenthesized dimensions apply to sequence 22-14-6.
FND-C024,14,6,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,14-6,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,Preserve TAV-01A source variant: parenthesized dimensions apply to sequence 22-14-6.
FND-C025,c,a,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,c-a,FND-SEC-B,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C026,a,17,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,a-17,FND-SEC-B,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C027,17,9,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,17-9,FND-SEC-B_TO_A_TRANSITION_WATCH,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C028,9,1,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,9-1,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C029,d,b,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,d-b,FND-SEC-B,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C030,b,18,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,b-18,FND-SEC-B,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C031,18,10,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,18-10,FND-SEC-B_TO_A_TRANSITION_WATCH,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C032,10,2,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,10-2,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C033,a,b,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,a-b,FND-SEC-B,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C034,b,25,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,b-25,FND-SEC-B_TO_VERIFY,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C035,25,26,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,25-26,FND-SEC-A_TO_VERIFY,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C036,26,27,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,26-27,FND-SEC-A_TO_VERIFY,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C037,c,d,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,c-d,FND-SEC-B,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C038,d,28,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,d-28,FND-SEC-B_TO_VERIFY,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C039,28,29,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,28-29,FND-SEC-A_TO_VERIFY,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C040,29,30,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,29-30,FND-SEC-A_TO_VERIFY,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C041,31,32,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,31-32,FND-SEC-A_TO_VERIFY,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C042,32,33,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,32-33,FND-SEC-A_TO_VERIFY,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C043,12,5,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,12-5,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C044,5,4,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,5-4,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
