beam_id,qa_status,qa_reason,overview_px_len,median_nearest_ink_px,p90_nearest_ink_px,p95_nearest_ink_px,near8_fraction,near12_fraction,direct_dark_fraction,transform_u_native,transform_v_native,diagnostic_rule
B-026,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,124.435,6.622,7.099,7.099,1.000,1.000,0.106,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","P29-P30 terminates on physical face"
B-027,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,192.405,7.640,7.681,8.054,0.900,1.000,0.056,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-028,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,121.035,5.730,7.640,7.640,0.969,1.000,0.106,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-030,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,80.580,3.820,8.595,8.757,0.806,1.000,0.144,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-031,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,178.656,7.640,8.054,8.469,0.856,1.000,0.025,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","P23-P15 horizontal face attachment confirmed"
B-032,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,136.766,7.640,7.681,8.054,0.900,1.000,0.062,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-033,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,197.734,0.955,3.279,4.234,1.000,1.000,0.119,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-034,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,138.414,0.955,0.955,0.976,1.000,1.000,0.131,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-035,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,141.426,2.865,2.865,3.279,1.000,1.000,0.044,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","P23-P24 longitudinal face attachment confirmed"
B-036,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,141.426,4.234,8.228,11.087,0.887,0.956,0.056,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-038,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,144.214,7.640,7.640,7.640,0.969,1.000,0.025,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","P18 opposite-face attachment confirmed"
B-039,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,168.074,7.640,9.009,10.265,0.588,0.988,0.044,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-040,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,140.661,6.685,7.640,7.640,1.000,1.000,0.094,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","vector alignment passes; P20 X remains MIS_WATCH"
B-041,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,166.426,7.640,8.469,8.883,0.825,1.000,0.037,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-042,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,139.782,5.189,8.611,11.468,0.881,0.956,0.050,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-043,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,154.582,4.775,5.730,6.144,1.000,1.000,0.056,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-045,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,136.766,5.730,5.730,5.730,1.000,1.000,0.062,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-046,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,161.160,5.730,18.019,20.931,0.744,0.812,0.056,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","direct overlay passes; local section annotation increases ink-distance residual"
B-047,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,25.654,0.000,0.000,0.000,1.000,1.000,1.000,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","short P22-P22-prime run directly overlaps raster ink; length evidence remains MIS-supported"
B-048,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,92.832,6.081,15.154,17.064,0.600,0.806,0.062,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","direct source confirms P11-P12 segment; P12 Y remains MIS"
B-049,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,60.428,3.279,10.322,11.909,0.812,0.963,0.181,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","direct source confirms inclined P12-P13 segment; P12 Y remains MIS"
B-050,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,82.225,3.820,12.415,14.325,0.744,0.875,0.081,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","direct source confirms P13-P14 segment"
B-051,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,174.486,3.820,4.649,4.775,1.000,1.000,0.056,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","direct source confirms P20-P21 diagonal 65x30"
B-052,WATCH,WATCH_SUPPORT_P19,13.156,0.955,2.324,2.324,1.000,1.000,0.463,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","short P19-P20 member directly visible; P19 G3 residual remains WATCH"
