storey_id,order_id,support_id,carpentry_section_cm,carpentry_orientation_cm,carpentry_evidence_status,section_authority_mode,section_source,candidate_family_ids,selected_family_id,orientation_relation,longitudinal_long,monconi,stirrup_diameter_mm,stirrup_spacing_cm,binding_status,binding_basis,numeric_callout_state,conflicting_callout_family_ids,note
G1,I,11,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,12,40x50,40x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-01,T7-I-01,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,13,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,14,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,15,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,16,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,17,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,18,110x30,110x30,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-03,T7-I-03,ROTATED_ORIENTATION_EQUIVALENT,12x14,,8,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,19,40x50,40x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-01,T7-I-01,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,20,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,21,40x50,40x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-01,T7-I-01,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,22,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,22',50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,23,30x110,110x30,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-03,T7-I-03,ROTATED_ORIENTATION_EQUIVALENT,12x14,,8,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,24,40x50,40x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-01,T7-I-01,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,25,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,26,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,27,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,28,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,29,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,30,30x110,30x110,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-03,T7-I-03,DIRECT,12x14,,8,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,31,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,32,40x50,40x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-01,T7-I-01,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,33,40x50,40x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-01,T7-I-01,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,a,30x30,30x30,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-04,,NA,,,,,SECTION_MATCH_ONLY_LATER_ADDITION,CARPENTERIA_SECTION_MATCH_ONLY; historical TAV-07 family not assigned to later-added support,NONE,,30x30 section is documentary in carpenteria, but support is a later terrace addition absent from the original historical calculation model.
G1,I,b,30x30,30x30,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-04,,NA,,,,,SECTION_MATCH_ONLY_LATER_ADDITION,CARPENTERIA_SECTION_MATCH_ONLY; historical TAV-07 family not assigned to later-added support,NONE,,30x30 section is documentary in carpenteria, but support is a later terrace addition absent from the original historical calculation model.
G1,I,c,30x30,30x30,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-04,,NA,,,,,SECTION_MATCH_ONLY_LATER_ADDITION,CARPENTERIA_SECTION_MATCH_ONLY; historical TAV-07 family not assigned to later-added support,NONE,,30x30 section is documentary in carpenteria, but support is a later terrace addition absent from the original historical calculation model.
G1,I,d,30x30,30x30,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-04,,NA,,,,,SECTION_MATCH_ONLY_LATER_ADDITION,CARPENTERIA_SECTION_MATCH_ONLY; historical TAV-07 family not assigned to later-added support,NONE,,30x30 section is documentary in carpenteria, but support is a later terrace addition absent from the original historical calculation model.
G2,II,1,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,2,45x40,45x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-02,T7-II-02,DIRECT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,3,45x40,45x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-02,T7-II-02,DIRECT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,4,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,5,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,6,45x40,45x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-02,T7-II-02,DIRECT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,7,45x40,45x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-02,T7-II-02,DIRECT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,8,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,9,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_AND_ID,CARPENTERIA_SECTION_FIRST+COMPATIBLE_TAV07_EXPLICIT_ID,MATCH,,
G2,II,10,50x35,50x35,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-04,T7-II-04,ROTATED_ORIENTATION_EQUIVALENT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,11,50x35,50x35,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-04,T7-II-04,ROTATED_ORIENTATION_EQUIVALENT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,12,35x50,35x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-04,T7-II-04,DIRECT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,13,50x35,50x35,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-04,T7-II-04,ROTATED_ORIENTATION_EQUIVALENT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,14,50x35,50x35,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-04,T7-II-04,ROTATED_ORIENTATION_EQUIVALENT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,15,50x35,50x35,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-04,T7-II-04,ROTATED_ORIENTATION_EQUIVALENT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,16,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_AND_ID,CARPENTERIA_SECTION_FIRST+COMPATIBLE_TAV07_EXPLICIT_ID,MATCH,,
G2,II,17,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,18,30x110,30x110,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-03,T7-II-03,DIRECT,8x14,,8,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,19,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,20,45x40,45x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-02,T7-II-02,DIRECT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,21,35x50,35x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-04,T7-II-04,DIRECT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,22,35x50,35x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-04,T7-II-04,DIRECT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,22',45x40,45x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-02,T7-II-02,DIRECT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,23,30x110,30x110,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-03,T7-II-03,DIRECT,8x14,,8,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,24,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,25,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,26,35x50,35x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-04,T7-II-04,DIRECT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,27,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,28,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,29,35x50,35x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-04,T7-II-04,DIRECT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,30,110x30,110x30,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-03,T7-II-03,ROTATED_ORIENTATION_EQUIVALENT,8x14,,8,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,31,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G2,II,32,45x40,45x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-02,T7-II-02,DIRECT,6x16,4x14,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,CONFLICTING_NUMERIC_CALLOUT_IGNORED_BY_SECTION_FIRST_RULE,T7-II-01,Carpenteria gives 45x40; T7-II-01 numeric list also names 32 beside 40x45. Binding follows section to T7-II-02; numeric callout retained as conflict.
G2,II,33,40x45,40x45,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv,T7-II-01,T7-II-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G3,III,1,40x40,40x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G3_v1.csv,T7-III-01;T7-III-02,T7-III-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_AND_ID,CARPENTERIA_SECTION_FIRST+EXPLICIT_ID_DISAMBIGUATES_SAME_SECTION_VARIANTS,MATCH,,
G3,III,2,40x40,40x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/STOREY_SUPPORT_SECTIONS_G3_v1.csv,T7-III-01;T7-III-02,T7-III-01,DIRECT,4x16,4x16,6,15,BOUND_SECTION_AND_ID,CARPENTERIA_SECTION_FIRST+EXPLICIT_ID_DISAMBIGUATES_SAME_SECTION_VARIANTS,MATCH,,
