support_id,x_m,y_m,evidence_class,geometry_kind,g3_status,master_promotion,note
26,3.4500,15.2000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
27,3.4500,19.2800,SUPPORTED_MIS_SHARED_ROW,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
28,0.0000,8.9500,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
29,0.0000,15.2000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
30,0.0000,19.7334,SUPPORTED_REFERENCE_PLUS_MIS_EXTENDED,EXTENDED_30x110,CURRENT_CANDIDATE,NO_PENDING_G3,"Physical support center only; analytical beam-face nodes remain separate."
31,-4.7000,8.9500,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
32,-4.7000,15.2000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
33,-4.7000,20.1500,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
a,3.4500,0.0000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
b,3.4500,4.7000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
c,0.0000,0.0000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
d,0.0000,4.7000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
