schedule_id,source_id,source_group,drawn_sequence,canonical_member_ids,section_cm,component,bar_count,diameter_mm,shape_class,length_or_segments_cm,position_or_role,stirrup_spacing_cm,evidence_status,binding_status,source_locator,note
T2A-G02-L01,TAV-02A,T2A-G02,"12-11-10-9 | 13-14-15-16",B-048;B-043;B-042;B-050;B-046;B-036,SECTION_BINDING_OPEN,LONGITUDINAL,"2+1","14+12",COMPOSITE_STRAIGHT,1090,LONG_CONTINUOUS_A,,DOC,DIRECT_GROUP_BINDING,TAV02A P03,"Source end label reads 2Ø14+1Ø12; direct length 1090 cm. Parenthesized dimensions elsewhere apply to 12-11-10-9."
T2A-G02-S01,TAV-02A,T2A-G02,"12-11-10-9 | 13-14-15-16",B-048;B-043;B-042;B-050;B-046;B-036,SECTION_BINDING_OPEN,LONGITUDINAL,3,14,STRAIGHT,225,LOCAL_A,,DOC,DIRECT_GROUP_BINDING,TAV02A P03,"Direct source 3Ø14 length 225 cm."
T2A-G02-S02,TAV-02A,T2A-G02,"12-11-10-9 | 13-14-15-16",B-048;B-043;B-042;B-050;B-046;B-036,SECTION_BINDING_OPEN,LONGITUDINAL,3,12,STRAIGHT,"150;150;TOTAL_300",LOCAL_B,,DOC,DIRECT_GROUP_BINDING,TAV02A P03,"Direct source 3Ø12 with 150+150=300 cm."
T2A-G02-S03,TAV-02A,T2A-G02,"12-11-10-9 | 13-14-15-16",B-048;B-043;B-042;B-050;B-046;B-036,SECTION_BINDING_OPEN,LONGITUDINAL,2,14,STRAIGHT,250,LOCAL_C,,DOC,DIRECT_GROUP_BINDING,TAV02A P03,"Direct source 2Ø14 length 250 cm."
T2A-G02-S04,TAV-02A,T2A-G02,"12-11-10-9 | 13-14-15-16",B-048;B-043;B-042;B-050;B-046;B-036,SECTION_BINDING_OPEN,LONGITUDINAL,2,12,STRAIGHT,175,LOCAL_D,,DOC,DIRECT_GROUP_BINDING,TAV02A P03,"Direct source 2Ø12 length 175 cm."
T2A-G02-L02,TAV-02A,T2A-G02,"12-11-10-9 | 13-14-15-16",B-048;B-043;B-042;B-050;B-046;B-036,SECTION_BINDING_OPEN,LONGITUDINAL,"2+1","14+12",COMPOSITE_STRAIGHT,1090,LONG_CONTINUOUS_B,,DOC,DIRECT_GROUP_BINDING,TAV02A P03,"Second source line labelled 2Ø14+1Ø12, length 1090 cm; layer assignment deferred."
T2A-G07-ST,TAV-02A,T2A-G07,"24-23-22'-22-21 | 17-18-19-20",B-035;B-054;B-047;B-030;B-055;B-053;B-052,50x20,STIRRUP,,8,CLOSED_RECTANGULAR,,TRANSVERSE,15,DOC,DIRECT_GROUP_BINDING,TAV02A P04,"50x20 section sketch with staffe Ø8/15 is directly associated with the paired G07 scheme in the source context; topology already revalidated separately on TAV-02S."
T2A-G07-L01,TAV-02A,T2A-G07,"24-23-22'-22-21 | 17-18-19-20",B-035;B-054;B-047;B-030;B-055;B-053;B-052,50x20,LONGITUDINAL,2,14,STRAIGHT,1085,LONG_CONTINUOUS_A,,DOC,DIRECT_GROUP_BINDING,TAV02A G07 detail,"Direct source 2Ø14 length 1085 cm."
T2A-G07-S01,TAV-02A,T2A-G07,"24-23-22'-22-21 | 17-18-19-20",B-035;B-054;B-047;B-030;B-055;B-053;B-052,50x20,LONGITUDINAL,3,12,STRAIGHT,330,RIGHT_LOCAL_A,,DOC,DIRECT_GROUP_BINDING,TAV02A G07 detail,"Direct source 3Ø12 length 330 cm."
T2A-G07-S02,TAV-02A,T2A-G07,"24-23-22'-22-21 | 17-18-19-20",B-035;B-054;B-047;B-030;B-055;B-053;B-052,50x20,LONGITUDINAL,3,12,STRAIGHT,330,RIGHT_LOCAL_B,,DOC,DIRECT_GROUP_BINDING,TAV02A G07 detail,"Second direct 3Ø12 length 330 cm line."
T2A-G07-S03,TAV-02A,T2A-G07,"24-23-22'-22-21 | 17-18-19-20",B-035;B-054;B-047;B-030;B-055;B-053;B-052,50x20,LONGITUDINAL,2,14,STRAIGHT,175,LEFT_LOCAL,,DOC,DIRECT_GROUP_BINDING,TAV02A G07 detail,"Direct source 2Ø14 length 175 cm."
T2A-G07-S04,TAV-02A,T2A-G07,"24-23-22'-22-21 | 17-18-19-20",B-035;B-054;B-047;B-030;B-055;B-053;B-052,50x20,LONGITUDINAL,2,12,STRAIGHT,295,CENTRAL_LOCAL_A,,DOC,DIRECT_GROUP_BINDING,TAV02A G07 detail,"Direct source 2Ø12 length 295 cm."
T2A-G07-S05,TAV-02A,T2A-G07,"24-23-22'-22-21 | 17-18-19-20",B-035;B-054;B-047;B-030;B-055;B-053;B-052,50x20,LONGITUDINAL,2,14,STRAIGHT,"150;140;TOTAL_290",CENTRAL_LOCAL_B,,DOC,DIRECT_GROUP_BINDING,TAV02A G07 detail,"Direct source 150+140=290 cm."
T2A-G07-L02,TAV-02A,T2A-G07,"24-23-22'-22-21 | 17-18-19-20",B-035;B-054;B-047;B-030;B-055;B-053;B-052,50x20,LONGITUDINAL,2,14,STRAIGHT,1085,LONG_CONTINUOUS_B,,DOC,DIRECT_GROUP_BINDING,TAV02A G07 detail,"Second direct 2Ø14 length 1085 cm line; layer assignment deferred."
