legacy_chain_id,legacy_source_node,fixed_line_x_mm,fixed_line_y_mm,legacy_status,vertical_continuity,source_ref,g4_support_candidate,candidate_status,evidence_status,notes
X05-Y10,N017,28738.3,19447.4,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X12-Y10,N028,37862.9,19630.2,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X05-Y11,N035,28727.8,20662.0,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X13-Y09,N031,42882.7,18454.7,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X09-Y07,N033,36500.9,13382.3,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X13-Y10,N039,42882.7,19643.3,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X08-Y10,N040,33999.2,19604.1,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X09-Y03,N042,36500.9,9625.7,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X10-Y03,N043,36772.0,9707.4,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X11-Y01,N044,37363.2,5554.1,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X10-Y02,N045,36772.0,7790.7,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
