pillar_ref,canonical_node_id,x_ref_mm,y_ref_mm,coordinate_role,center_x_mm,center_y_mm,section_pt,orientation_deg,origin,shown_in_carpentry,in_original_calculation,evidence_status,source,note
PT-N012,N012,23789.6,17276.3,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N013,N013,23789.6,12151.3,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N014,N014,23789.6,7839.7,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N015,N015,23789.6,5536.1,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N016,N016,28419.4,23679.0,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N017,N017,28419.4,20627.2,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N018,N018,28419.4,17276.3,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N019,N019,28419.4,12151.3,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N020,N020,28419.4,7839.7,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N021,N021,28419.4,5536.1,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N022,N022,31709.7,20627.2,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N023,N023,31709.7,17276.3,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N024,N024,31709.7,7839.7,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N025,N025,33084.7,17276.3,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N026,N026,36500.9,17276.3,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
PT-N027,N027,42889.2,17276.3,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv","Da riconciliare con column_fixed_lines.csv prima della promozione"
a,ND,ND,ND,LETTERED_PILLAR,ND,ND,ND,ND,TERRACE_ADDITION,YES,NO,DOC_USER_CONFIRMED,"carpenteria originale; conferma utente 2026-08-20","Pilastro aggiunto per terrazzo; presente in carpenteria, assente dai calcoli originari; coordinate e sezione da estrarre dalla tavola"
b,ND,ND,ND,LETTERED_PILLAR,ND,ND,ND,ND,TERRACE_ADDITION,YES,NO,DOC_USER_CONFIRMED,"carpenteria originale; conferma utente 2026-08-20","Come a"
c,ND,ND,ND,LETTERED_PILLAR,ND,ND,ND,ND,TERRACE_ADDITION,YES,NO,DOC_USER_CONFIRMED,"carpenteria originale; conferma utente 2026-08-20","Come a"
d,ND,ND,ND,LETTERED_PILLAR,ND,ND,ND,ND,TERRACE_ADDITION,YES,NO,DOC_USER_CONFIRMED,"carpenteria originale; conferma utente 2026-08-20","Come a"
