link_id,level_id,support_id,core_node_id,face_node_id,beam_id,beam_end,face_ref,dx_m,dy_m,dz_m,offset_length_m,link_role,source_face_coordinate_state,link_evidence_state,validation_state,usage_rule,note
M0G-RL-M0G-F-G1-AN-014,G1,2,M0G-C-G1-2,M0G-F-G1-AN-014,B-007,SOURCE_CURRENT_PT,NORTH,0.0000,-0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-015,G1,2,M0G-C-G1-2,M0G-F-G1-AN-015,B-008,SOURCE_CURRENT_PT,SOUTH,0.0000,0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-074,G1,2,M0G-C-G1-2,M0G-F-G1-AN-074,B-039,SOURCE_CURRENT_PT,WEST,-0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-075,G1,20,M0G-C-G1-20,M0G-F-G1-AN-075,B-040,SOURCE_CURRENT_PT,EAST,0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-095,G1,20,M0G-C-G1-20,M0G-F-G1-AN-095,B-051,SOURCE_CURRENT_PT,SOUTH,-0.0771,0.2000,0.0000,0.2143,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-098,G1,20,M0G-C-G1-20,M0G-F-G1-AN-098,B-052,SOURCE_CURRENT_PT,NORTH,0.0000,-0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-038,G1,21,M0G-C-G1-21,M0G-F-G1-AN-038,B-019,SOURCE_CURRENT_PT,WEST,-0.2000,0.0000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-057,G1,21,M0G-C-G1-21,M0G-F-G1-AN-057,B-030,SOURCE_CURRENT_PT,SOUTH,0.0000,0.2500,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-096,G1,21,M0G-C-G1-21,M0G-F-G1-AN-096,B-051,SOURCE_CURRENT_PT,NORTH,0.0964,-0.2500,0.0000,0.2679,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-058,G1,22,M0G-C-G1-22,M0G-F-G1-AN-058,B-030,SOURCE_CURRENT_PT,NORTH,0.0000,-0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-087,G1,22,M0G-C-G1-22,M0G-F-G1-AN-087,B-047,SOURCE_CURRENT_PT,SOUTH,0.0000,0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-044,G1,22',M0G-C-G1-22PRIME,M0G-F-G1-AN-044,B-022,SOURCE_CURRENT_PT,WEST,-0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-088,G1,22',M0G-C-G1-22PRIME,M0G-F-G1-AN-088,B-047,SOURCE_CURRENT_PT,NORTH,0.0000,-0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-102,G1,22',M0G-C-G1-22PRIME,M0G-F-G1-AN-102,B-054,SOURCE_CURRENT_PT,SOUTH,-0.0156,0.2000,0.0000,0.2006,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-059,G1,23,M0G-C-G1-23,M0G-F-G1-AN-059,B-031,SOURCE_CURRENT_PT,EAST,0.5500,0.0000,0.0000,0.5500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-067,G1,23,M0G-C-G1-23,M0G-F-G1-AN-067,B-035,SOURCE_CURRENT_PT,SOUTH,-0.2289,0.1500,0.0000,0.2737,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-101,G1,23,M0G-C-G1-23,M0G-F-G1-AN-101,B-054,SOURCE_CURRENT_PT,NORTH,0.0117,-0.1500,0.0000,0.1505,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-063,G1,24,M0G-C-G1-24,M0G-F-G1-AN-063,B-033,SOURCE_CURRENT_PT,EAST,0.2000,0.0000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-068,G1,24,M0G-C-G1-24,M0G-F-G1-AN-068,B-035,SOURCE_CURRENT_PT,NORTH,0.0000,-0.2500,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-030,G1,25,M0G-C-G1-25,M0G-F-G1-AN-030,B-015,SOURCE_CURRENT_PT,WEST,-0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-031,G1,25,M0G-C-G1-25,M0G-F-G1-AN-031,B-016,SOURCE_CURRENT_PT,EAST,0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-053,G1,25,M0G-C-G1-25,M0G-F-G1-AN-053,B-027,SOURCE_CURRENT_PT,SOUTH,0.0000,0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-036,G1,26,M0G-C-G1-26,M0G-F-G1-AN-036,B-018,SOURCE_CURRENT_PT,WEST,-0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
