patch_id,operation,target_row_id,new_row_id,group_id,source_locator,bar_role,bar_quantity,bar_diameter_mm,shape_or_length,segment_dimensions_cm,evidence_status,binding_state,reason
M1F-REINF-P019,ADD,,F1A-G03-R04E,F1A-G03,P05,LOWER_BENT_BAR,2,14,BENT_PARTIAL,"left_diag122;100+60=160",DOC_DIRECT,GROUP_BOUND_WITH_22_PRIME_CORRECTION,"Direct HiRes P05 partition of the lower-left 2phi14 sagomato: source writes left diagonal 122 and base 100+60=160."
M1F-REINF-P020,ADD,,F1A-G03-R04F,F1A-G03,P05,LOWER_BENT_BAR,2,14,BENT_PARTIAL,"60+75=135;right_diag122",DOC_DIRECT,GROUP_BOUND_WITH_22_PRIME_CORRECTION,"Direct HiRes P05 partition of the lower-middle 2phi14 sagomato: source writes base 60+75=135 and right diagonal 122."
M1F-REINF-P021,ADD,,F1A-G03-R04G,F1A-G03,P05,LOWER_BENT_BAR,2,16,BENT,"left_diag122;75+45=120;ascending_diag122;top210;descending_diag122;45+70=115",DOC_DIRECT,GROUP_BOUND_WITH_22_PRIME_CORRECTION,"Direct HiRes P05 partition of the right lower sagomato: source writes 2phi16 and all listed dimensions 122, 75+45=120, 122, top210, 122 and 45+70=115. The group-level 22-prime geometry correction remains binding."
M1F-REINF-P022,REPLACE,F1A-G02-R04,F1A-G02-R04,F1A-G02,P03-P04,UPPER_BENT_BAR,2,16,BENT,"70+45=115;ascending_diag122;top210;descending_diag122;45+90=135;right_diag122",DOC_DIRECT,GROUP_BOUND,"Direct HiRes P03-P04 partition of the first upper G02 sagomato: source writes 2phi16 and the listed dimensions. No member-by-member splice allocation is inferred."
M1F-REINF-P023,ADD,,F1A-G02-R04B,F1A-G02,P03-P04,UPPER_BENT_BAR,2,14,BENT_PARTIAL,"left_diag_unlabelled;90+30=120;ascending_diag122;top95;descending_diag122;30+30=60;right_diag122",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P03-P04 partition of the second upper G02 sagomato: source writes 2phi14 and all listed dimensions except the left incoming diagonal, which remains unlabelled rather than inferred."
M1F-REINF-P024,ADD,,F1A-G02-R04C,F1A-G02,P03-P04,UPPER_BENT_BAR,2,12,BENT_PARTIAL,"left_diag_unlabelled;30+50=80;right_diag122",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P03-P04 partition of the third upper G02 sagomato: source writes 2phi12, base 30+50=80 and right diagonal 122; the left incoming diagonal is not dimensioned."
M1F-REINF-P025,ADD,,F1A-G02-R04D,F1A-G02,P03-P04,UPPER_BENT_BAR,2,16,BENT_PARTIAL,"left_diag_unlabelled;50+45=95;ascending_diag122;top260;descending_diag_unlabelled;45+90=135;right_diag122",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P03-P04 partition of the fourth upper G02 sagomato: source writes 2phi16, bases 50+45=95 and 45+90=135, ascending/right diagonal 122 and top260; the other drawn diagonals without written dimensions remain unlabelled."
M1F-REINF-P026,ADD,,F1A-G02-R04E,F1A-G02,P03-P04,UPPER_BENT_BAR,2,14,BENT_PARTIAL,"left_diag122;90+70=160;right_vertical_end_unlabelled;right_inclined_segment_unlabelled",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P03-P04 partition of the fifth upper/end G02 sagomato: source writes 2phi14, left diagonal 122 and base 90+70=160. The right terminal portions are visible but not dimensioned and are not reconstructed by symmetry."
M1F-REINF-P027,ADD,,F1A-G02-R04F,F1A-G02,P03-P04,LOWER_BENT_BAR,2,14,BENT_PARTIAL,"left_vertical_end_unlabelled;70+85=155;right_diag122",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P03-P04 partition of the first lower G02 sagomato: source writes 2phi14, base 70+85=155 and right diagonal 122; the left terminal is unlabelled."
M1F-REINF-P028,ADD,,F1A-G02-R04G,F1A-G02,P03-P04,LOWER_BENT_BAR,2,16,BENT_PARTIAL,"left_diag_unlabelled;85+50=135;ascending_diag122;top240;descending_diag_unlabelled;50+55=105;right_diag122",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P03-P04 partition of the second lower G02 sagomato: source writes 2phi16, bases 85+50=135 and 50+55=105, ascending/right diagonal 122 and top240; undimensioned diagonals remain unlabelled."
M1F-REINF-P029,ADD,,F1A-G02-R04H,F1A-G02,P03-P04,LOWER_BENT_BAR,2,12,BENT_PARTIAL,"left_diag_unlabelled;55+80=135",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P03-P04 partition of the central lower G02 sagomato: source writes 2phi12 and base 55+80=135; the incoming diagonal has no written dimension."
M1F-REINF-P030,ADD,,F1A-G02-R04I,F1A-G02,P03-P04,LOWER_BENT_BAR,2,14,BENT_PARTIAL,"80+30=110;ascending_diag122;top60;descending_diag_unlabelled;30+90=120;right_diag_unlabelled",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P03-P04 partition of the fourth lower G02 sagomato: source writes 2phi14, bases 80+30=110 and 30+90=120, ascending diagonal 122 and top60; the remaining source-drawn diagonals lack dimensions and remain unlabelled."
M1F-REINF-P031,ADD,,F1A-G02-R04J,F1A-G02,P03-P04,LOWER_BENT_BAR,2,16,BENT_PARTIAL,"left_diag_unlabelled;90+45=135;ascending_diag122;top240;descending_diag_unlabelled;45+70=115",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P03-P04 partition of the fifth lower/end G02 sagomato: source writes 2phi16, bases 90+45=135 and 45+70=115, ascending diagonal 122 and top240; undimensioned end/descending segments are retained as explicit watches."
