support_id,primary_binding_id,primary_tile,tile_registration,acceptance_class,registration_state,geometry_kind,may_enter_pixel_registry,metric_status,note
24,BIND-R4C2-P24-001,r4_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"ID 24 direttamente leggibile sul tile pulito."
25,BIND-R2C2-P25-001,r2_c2,DIRECT_SIFT_RANSAC,A,CROSS_VALIDATED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Cross-check r3_c2 ~0.58 px."
26,BIND-R3C2-P26-001,r3_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili."
27,BIND-R3C2-P27-001,r3_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"ID 27 corretto prima di qualsiasi promozione."
28,BIND-R2C1-P28-001,r2_c1,DIRECT_SIFT_RANSAC,A,CROSS_VALIDATED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Cross-check r3_c1 ~0.66 px."
29,BIND-R3C1-P29-001,r3_c1,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili."
30,BIND-R3C1-P30-001,r3_c1,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED_EXTENDED,EXTENDED_SUPPORT_CENTER,YES,UNVALIDATED_G2,"Supporto esteso 30x110 con sagoma completa registrata."
31,BIND-R2C1-P31-001,r2_c1,DIRECT_SIFT_RANSAC,A,CROSS_VALIDATED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Cross-check r3_c1 ~0.60 px."
32,BIND-R3C1-P32-001,r3_c1,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili."
33,BIND-R3C1-P33-001,r3_c1,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili."
a,TERRACE-a,r2_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Pilastro aggiunto 30x30 direttamente osservato; assente dal calcolo storico."
b,TERRACE-b,r2_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Pilastro aggiunto 30x30 direttamente osservato; assente dal calcolo storico."
c,TERRACE-c,r2_c1,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Pilastro aggiunto 30x30 direttamente osservato; assente dal calcolo storico."
d,TERRACE-d,r2_c1,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Pilastro aggiunto 30x30 direttamente osservato; assente dal calcolo storico."
