support_id,entity_type,x_global_m,y_global_m,metric_provenance,g1_present,g2_present,g3_present,g4_present,g5_present,highest_documented_plane,highest_z_rel_m,continuity_class,xy_registration_state,z_registration_state,section_transfer_rule,note
16,NUMBERED_PILLAR,11.4500,28.1000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,G4,9.60,CONTINUES_G1_TO_G4_NOT_PRESENT_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,DO_NOT_EXTRUDE_TO_G5
17,NUMBERED_PILLAR,6.9000,0.0000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,G4,9.60,CONTINUES_G1_TO_G4_NOT_PRESENT_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,DO_NOT_EXTRUDE_TO_G5
18,NUMBERED_PILLAR,7.2240,4.7000,MIS_AFFINE_EXTENDED,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
19,NUMBERED_PILLAR,7.6318,8.9500,MIS_AFFINE_WATCH,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
20,NUMBERED_PILLAR,7.6318,9.8000,MIS_AFFINE_WATCH,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
21,NUMBERED_PILLAR,5.5500,15.2000,SUPPORTED_REFERENCE_REBOUND,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
22,NUMBERED_PILLAR,5.5500,18.1000,SUPPORTED_REFERENCE_REBOUND,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
22',NUMBERED_PILLAR,5.5500,19.2800,SUPPORTED_REFERENCE_PLUS_MIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
23,NUMBERED_PILLAR,5.2289,23.4000,MIS_AFFINE_EXTENDED,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
24,NUMBERED_PILLAR,5.0000,28.1000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,G4,9.60,CONTINUES_G1_TO_G4_NOT_PRESENT_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,DO_NOT_EXTRUDE_TO_G5
25,NUMBERED_PILLAR,3.4500,8.9500,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
26,NUMBERED_PILLAR,3.4500,15.2000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
27,NUMBERED_PILLAR,3.4500,19.2800,SUPPORTED_MIS_SHARED_ROW,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
28,NUMBERED_PILLAR,0.0000,8.9500,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
29,NUMBERED_PILLAR,0.0000,15.2000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
30,NUMBERED_PILLAR,0.0000,19.7334,SUPPORTED_REFERENCE_PLUS_MIS_EXTENDED,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
31,NUMBERED_PILLAR,-4.7000,8.9500,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,G4,9.60,CONTINUES_G1_TO_G4_NOT_PRESENT_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,DO_NOT_EXTRUDE_TO_G5
32,NUMBERED_PILLAR,-4.7000,15.2000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,G4,9.60,CONTINUES_G1_TO_G4_NOT_PRESENT_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,DO_NOT_EXTRUDE_TO_G5
33,NUMBERED_PILLAR,-4.7000,20.1500,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,G4,9.60,CONTINUES_G1_TO_G4_NOT_PRESENT_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,DO_NOT_EXTRUDE_TO_G5
a,TERRACE_ADDED_PILLAR,3.4500,0.0000,DOC_METRIC_OR_AXIS,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,G1,0.00,TERMINATES_AT_G1,COMMON_PT_XY_ONLY,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,TERRACE_ADDITION_DO_NOT_EXTRUDE
b,TERRACE_ADDED_PILLAR,3.4500,4.7000,DOC_METRIC_OR_AXIS,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,G1,0.00,TERMINATES_AT_G1,COMMON_PT_XY_ONLY,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,TERRACE_ADDITION_DO_NOT_EXTRUDE
c,TERRACE_ADDED_PILLAR,0.0000,0.0000,DOC_METRIC_OR_AXIS,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,G1,0.00,TERMINATES_AT_G1,COMMON_PT_XY_ONLY,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,TERRACE_ADDITION_DO_NOT_EXTRUDE
d,TERRACE_ADDED_PILLAR,0.0000,4.7000,DOC_METRIC_OR_AXIS,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,G1,0.00,TERMINATES_AT_G1,COMMON_PT_XY_ONLY,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,TERRACE_ADDITION_DO_NOT_EXTRUDE
