schedule_id,source_id,source_group,level_scope,drawn_sequence,g2_member_ids,g3_member_ids,section_cm,component,bar_count,diameter_mm,shape_class,length_or_segments_cm,position_or_role,stirrup_spacing_cm,evidence_status,binding_status,source_locator,note
T34-G05-ST,TAV-034A,T34-G05,G2+G3,17-9-1,G2-B022;G2-B008,G3-B022;G3-B008,25x70,STIRRUP,,6,CLOSED_RECTANGULAR,,TRANSVERSE,15,DOC,DIRECT_GROUP_BINDING,TAV034A P06,"Section sketch reads 25x70 and staffe Ø6/15."
T34-G05-L01,TAV-034A,T34-G05,G2+G3,17-9-1,G2-B022;G2-B008,G3-B022;G3-B008,25x70,LONGITUDINAL,3,12,STRAIGHT,1150,LONG_CONTINUOUS_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P06,"Direct source 3Ø12 length 1150 cm."
T34-G05-L02,TAV-034A,T34-G05,G2+G3,17-9-1,G2-B022;G2-B008,G3-B022;G3-B008,25x70,LONGITUDINAL,3,12,STRAIGHT,1150,LONG_CONTINUOUS_B,,DOC,DIRECT_GROUP_BINDING,TAV034A P06,"Second direct 3Ø12 length 1150 cm line."
T34-G05-B14A,TAV-034A,T34-G05,G2+G3,17-9-1,G2-B022;G2-B008,G3-B022;G3-B008,25x70,LONGITUDINAL,2,14,BENT_MULTI_SPAN,"70;93_DIAG;315;DIAG_UNLABELED;160(60+100);93_DIAG",BENT_MAIN_A,,DOC_WITH_READABILITY_WATCH,DIRECT_GROUP_BINDING,TAV034A P06,"Written dimensions transcribed left-to-right; the rise after 315 is drawn without a separate readable dimension."
T34-G05-E14R,TAV-034A,T34-G05,G2+G3,17-9-1,G2-B022;G2-B008,G3-B022;G3-B008,25x70,LONGITUDINAL,2,14,END_BENT,"93_DIAG;120",RIGHT_END_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P06,"Direct right terminal 2Ø14 piece."
T34-G05-E14L,TAV-034A,T34-G05,G2+G3,17-9-1,G2-B022;G2-B008,G3-B022;G3-B008,25x70,LONGITUDINAL,2,14,END_BENT,"120;93_DIAG",LEFT_END_B,,DOC,DIRECT_GROUP_BINDING,TAV034A P06,"Direct left terminal 2Ø14 piece."
T34-G05-B14B,TAV-034A,T34-G05,G2+G3,17-9-1,G2-B022;G2-B008,G3-B022;G3-B008,25x70,LONGITUDINAL,2,14,BENT_MULTI_SPAN,"93_DIAG;160(100+60);DIAG_UNLABELED;320;93_DIAG;70",BENT_MAIN_B,,DOC_WITH_READABILITY_WATCH,DIRECT_GROUP_BINDING,TAV034A P06,"Written dimensions preserved; descending diagonal after the 160 plateau is unlabelled."
T34-G05-B12,TAV-034A,T34-G05,G2+G3,17-9-1,G2-B022;G2-B008,G3-B022;G3-B008,25x70,LONGITUDINAL,2,12,BENT,"93_DIAG;130;130;SOURCE_TOTAL_230;DIAG_UNLABELED",INTERNAL_BENT_A,,DOC_WITH_SOURCE_DIMENSION_INCONSISTENCY_WATCH,DIRECT_GROUP_BINDING,TAV034A P06,"Source visibly writes two upper values that read 130 and 130 while the total beneath reads 230. No arithmetic correction is imposed; exact reading/meaning remains a source-dimension watch."
T34-G05-S12A,TAV-034A,T34-G05,G2+G3,17-9-1,G2-B022;G2-B008,G3-B022;G3-B008,25x70,LONGITUDINAL,2,12,STRAIGHT,200,LEFT_LOCAL,,DOC,DIRECT_GROUP_BINDING,TAV034A P06,"Direct source 2Ø12 length 200 cm."
T34-G05-S12B,TAV-034A,T34-G05,G2+G3,17-9-1,G2-B022;G2-B008,G3-B022;G3-B008,25x70,LONGITUDINAL,2,12,STRAIGHT,"150;150;TOTAL_300",INTERNAL_LOCAL,,DOC,DIRECT_GROUP_BINDING,TAV034A P06,"Direct source 2Ø12 with 150+150=300 cm."
T34-G05-S12C,TAV-034A,T34-G05,G2+G3,17-9-1,G2-B022;G2-B008,G3-B022;G3-B008,25x70,LONGITUDINAL,2,12,STRAIGHT,200,RIGHT_LOCAL,,DOC,DIRECT_GROUP_BINDING,TAV034A P06,"Direct source 2Ø12 length 200 cm."
