candidate_id,tavola_id,cx_px,cy_px,semantic_class,visible_dimension_pair,interpretation_status,confidence,notes
C24,TAV-05S,1500,4346,DIMENSION_ONLY,70,EXCLUDE,HIGH,"quota planimetrica"
C25,TAV-05S,4066,4561,SECTION_SYMBOL,ND,DOC_SYMBOL,MEDIUM,"simbolo verticale; coppia quote da secondo controllo"
C26,TAV-05S,1741,4566,SECTION_SYMBOL,120|50,DOC_SYMBOL,HIGH,"entrambe le quote 120 e 50 leggibili; non interpretare automaticamente b/h"
C27,TAV-05S,1197,4572,SECTION_SYMBOL,120|50,DOC_SYMBOL,HIGH,"entrambe le quote 120 e 50 leggibili"
C28,TAV-05S,498,4576,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"simbolo verticale 70/25"
C29,TAV-05S,1635,4592,SECTION_SYMBOL,120|50,DOC_SYMBOL,HIGH,"coppia 120 e 50 leggibile"
C30,TAV-05S,3838,4612,SECTION_SYMBOL,70|25,DOC_SYMBOL,MEDIUM,"simbolo verticale"
C31,TAV-05S,433,4619,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"simbolo verticale 70/25"
C32,TAV-05S,2287,4888,GEOMETRY_ONLY,ND,EXCLUDE,HIGH,"linea locale, non sezione completa"
C33,TAV-05S,3405,4935,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"simbolo verticale"
C34,TAV-05S,2071,4938,GEOMETRY_ONLY,ND,EXCLUDE,HIGH,"linea locale"
C35,TAV-05S,2254,4984,GEOMETRY_ONLY,ND,EXCLUDE,HIGH,"spigolo/linea, non simbolo autonomo"
C36,TAV-05S,2525,5115,SECTION_SYMBOL,50|20,DOC_SYMBOL,MEDIUM,"coppia 50 e 20 visibile; orientamento b/h da associare al tratto"
C37,TAV-05S,3098,5129,SUPPORT_SYMBOL,30|45,EXCLUDE,HIGH,"pilastro numerato, non sezione trave"
C38,TAV-05S,3753,5390,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo verticale 70/25"
C39,TAV-05S,1244,5419,SECTION_SYMBOL,120|50,DOC_SYMBOL,HIGH,"coppia 120 e 50 leggibile"
C40,TAV-05S,2100,5448,SECTION_SYMBOL,120|50,DOC_SYMBOL,HIGH,"coppia 120 e 50 leggibile"
C41,TAV-05S,1746,5451,SECTION_SYMBOL,120|50,DOC_SYMBOL,HIGH,"coppia 120 e 50 leggibile"
C42,TAV-05S,1202,5457,SECTION_SYMBOL,120|50,DOC_SYMBOL,HIGH,"coppia 120 e 50 leggibile"
C43,TAV-05S,438,5505,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"simbolo verticale 70/25"
C44,TAV-05S,1913,5535,SECTION_SYMBOL,120|50,DOC_SYMBOL,HIGH,"coppia 120 e 50 leggibile"
C45,TAV-05S,1515,5541,SECTION_SYMBOL,120|50,DOC_SYMBOL,HIGH,"coppia 120 e 50 leggibile"
C46,TAV-05S,3144,5545,DIMENSION_ONLY,70,EXCLUDE,HIGH,"quota, non simbolo sezione"
C47,TAV-05S,3408,5587,SECTION_SYMBOL,50|20,DOC_SYMBOL,HIGH,"coppia 50 e 20 leggibile"
C48,TAV-05S,2528,5590,SECTION_SYMBOL,50|20,DOC_SYMBOL,HIGH,"coppia 50 e 20 leggibile"
C49,TAV-05S,2006,5765,SUPPORT_SYMBOL,40|40,EXCLUDE,HIGH,"sostegno/reticolo locale, non sezione trave"
C50,TAV-05S,1886,5766,SECTION_SYMBOL,70|25,DOC_SYMBOL,MEDIUM,"rettangolo orizzontale; 25 leggibile"
C51,TAV-05S,1479,5770,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"sezione orizzontale 70/25"
C52,TAV-05S,836,5903,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"sezione orizzontale"
C53,TAV-05S,3756,6002,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo verticale"
C54,TAV-05S,2091,6009,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo verticale"
C55,TAV-05S,2898,6371,GEOMETRY_ONLY,ND,EXCLUDE,HIGH,"linea breve, non simbolo autonomo"
C56,TAV-05S,3153,6382,DIMENSION_ONLY,ND,EXCLUDE,HIGH,"linea di quota"
C57,TAV-05S,3413,6423,SECTION_SYMBOL,50|20,DOC_SYMBOL,HIGH,"coppia 50 e 20 leggibile"
C58,TAV-05S,2533,6426,SECTION_SYMBOL,50|20,DOC_SYMBOL,HIGH,"coppia 50 e 20 leggibile"
C59,TAV-05S,2699,6777,GEOMETRY_ONLY,ND,EXCLUDE,HIGH,"linea locale"
C60,TAV-05S,3762,6789,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo verticale"
C61,TAV-05S,1969,6797,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo verticale; 25 leggibile"
C62,TAV-05S,2527,7104,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"sezione orizzontale 70/25"
C63,TAV-05S,2442,7105,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"sezione orizzontale 70/25"
C64,TAV-05S,3378,7171,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"sezione orizzontale 70/25"
C65,TAV-05S,2498,7174,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"sezione orizzontale 70/25"
