connection_id,tavola_id,support_i,support_j,topology_status,evidence_status,confidence,beam_type,section_b_cm,section_h_cm,source_basis,supersedes,notes
T05-C018,TAV-05S,P09,P01,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto superiore; quote esterne 25/70",v4:T05-C018,""
T05-C019,TAV-05S,P01,P02,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto verticale destro; quote esterne 25/70",v4:T05-C019,""
T05-C020,TAV-05S,P10,P02,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"continuita strutturale P10-P02 + quota 50/richiamo 20",v4:T05-C020,""
T05-C021,TAV-05S,P02,P03,VERIFIED,DOC+RIF,HIGH,TRAVE_EMERGENTE,25,70,"h=70 documentata; b=25 dato consolidato",v4:T05-C021,""
T05-C022,TAV-05S,P11,P03,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,30,20,"continuita strutturale P11-P03 + quota 30/richiamo 20",v4:T05-C022,""
T05-C023,TAV-05S,P03,P04,VERIFIED,DOC+RIF,HIGH,TRAVE_EMERGENTE,25,70,"h=70 documentata; b=25 dato consolidato",v4:T05-C023,""
T05-C024,TAV-05S,P12,P04,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"rilettura raster dedicata: linea strutturale P12-P04 con simbolo 50 e richiamo 20",v2:T05-C024,"RIPRISTINATA; precedente esclusione nel QA v3/v4 SUPERATA"
T05-C025A,TAV-05S,P04,P05,VERIFIED,DOC,HIGH,ND,,,"raster ad alta risoluzione mostra tratto distinto P04-P05",v4:T05-C025A,"sezione locale ND"
T05-C025B,TAV-05S,P05,P06,VERIFIED,DOC+RIF,HIGH,TRAVE_EMERGENTE,25,70,"h=70 documentata; b=25 dato consolidato",v4:T05-C025B,""
T05-C026,TAV-05S,P14,P06,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"continuita strutturale P14-P06 + quota 50/richiamo 20",v4:T05-C026,""
T05-C027,TAV-05S,P06,P07,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v4:T05-C027,""
T05-C028,TAV-05S,P15,P07,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"continuita strutturale P15-P07 + quota 50/richiamo 20",v4:T05-C028,""
T05-C029,TAV-05S,P07,P08,VERIFIED,DOC+RIF,HIGH,TRAVE_EMERGENTE,25,70,"h=70 documentata; b=25 dato consolidato",v4:T05-C029,""
T05-C030,TAV-05S,P16,P08,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v4:T05-C030,""
T05-C031,TAV-05S,P17,P09,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v4:T05-C031,""
T05-C032,TAV-05S,P17,P18,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v4:T05-C032,"asse ortogonale; offset P18"
T05-C033,TAV-05S,P18,P10,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"continuita strutturale P18-P10 + quota 120/richiamo 20",v4:T05-C033,"offset P18"
T05-C034,TAV-05S,P18,P19,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v4:T05-C034,"asse ortogonale; offset P18"
T05-C035,TAV-05S,P19,P20,VERIFIED,DOC,HIGH,ND,,,"linea strutturale continua P19-P20",v4:T05-C035,"sezione ND"
T05-C036,TAV-05S,P20,P11,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,70,20,"continuita strutturale P20-P11 + quota 70/richiamo 20",v4:T05-C036,""
T05-C037,TAV-05S,P25,P26,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120",v4:T05-C037,""
T05-C038,TAV-05S,P26,P27,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120",v4:T05-C038,""
T05-C039,TAV-05S,P22,P14,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"linea strutturale continua P22-P14 con quota 50/richiamo 20",v4:T05-C039,""
T05-C040,TAV-05S,P23,P15,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"linea strutturale continua P23-P15 con quota 50/richiamo 20",v4:T05-C040,"offset P23"
T05-C041,TAV-05S,P24,P16,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"bordo inferiore continuo P24-P16; quote 25/70",v4:T05-C041,""
T05-C042,TAV-05S,P21,P13,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"rilettura raster dedicata: linea strutturale continua P21-P13; simbolo 50 con richiamo 20 sul tratto",,"NUOVA connessione recuperata"
