member_id,member_class,source_member_id,storey_id,from_level,to_level,support_i,support_j,node_i,node_j,geometric_length_m,section_i_cm,section_j_cm,section_cm,section_evidence_i,section_evidence_j,section_evidence,topology_evidence,source_ledger,source_record_class,connectivity_evidence,validation_state,usage_rule,note
M0G-M-G1-B-011,ORDINARY_BEAM,B-011,G1,G1,G1,6,7,M0G-F-G1-AN-021,M0G-F-G1-AN-022,4.9000,,,70x25,,,DOC,DOC_SECTION_BOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim; metric span kept separate from topology.
M0G-M-G1-B-012,ORDINARY_BEAM,B-012,G1,G1,G1,7,8,M0G-F-G1-AN-023,M0G-F-G1-AN-024,4.2500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim; metric span kept separate from topology.
M0G-M-G1-B-013,ORDINARY_BEAM,B-013,G1,G1,G1,5,4,M0G-F-G1-AN-025,M0G-F-G1-AN-026,1.5000,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Direct local P5-P4 segment.
M0G-M-G1-B-014,ORDINARY_BEAM,B-014,G1,G1,G1,31,28,M0G-F-G1-AN-027,M0G-F-G1-AN-028,4.2000,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-015,ORDINARY_BEAM,B-015,G1,G1,G1,28,25,M0G-F-G1-AN-029,M0G-F-G1-AN-030,2.9500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-016,ORDINARY_BEAM,B-016,G1,G1,G1,25,19,M0G-F-G1-AN-031,M0G-F-G1-AN-032,3.7318,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,P25-P19 continuity retained; former 2.10 m attribution revoked.
M0G-M-G1-B-017,ORDINARY_BEAM,B-017,G1,G1,G1,32,29,M0G-F-G1-AN-033,M0G-F-G1-AN-034,4.2500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-018,ORDINARY_BEAM,B-018,G1,G1,G1,29,26,M0G-F-G1-AN-035,M0G-F-G1-AN-036,2.9500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-019,ORDINARY_BEAM,B-019,G1,G1,G1,26,21,M0G-F-G1-AN-037,M0G-F-G1-AN-038,1.6500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-020,ORDINARY_BEAM,B-020,G1,G1,G1,33,30,M0G-F-G1-AN-039,M0G-F-G1-AN-040,4.3500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,P33 row intersects P30 left face at its own beam elevation; no centroid snapping.
M0G-M-G1-B-021,ORDINARY_BEAM,B-021,G1,G1,G1,30,27,M0G-F-G1-AN-041,M0G-F-G1-AN-042,3.0500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,P27 row intersects P30 right face at a different point from B-020.
M0G-M-G1-B-022,ORDINARY_BEAM,B-022,G1,G1,G1,27,22',M0G-F-G1-AN-043,M0G-F-G1-AN-044,1.6000,,,,,,ND,DOC_CONTINUITY_REBOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,P27 connects to P22-prime; no 2.10 m span asserted.
M0G-M-G1-B-023,ORDINARY_BEAM,B-023,G1,G1,G1,31,32,M0G-F-G1-AN-045,M0G-F-G1-AN-046,5.8000,,,70x25,,,DOC,DOC_SECTION_BOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Section callout retained as beam section.
M0G-M-G1-B-024,ORDINARY_BEAM,B-024,G1,G1,G1,32,33,M0G-F-G1-AN-047,M0G-F-G1-AN-048,4.4500,,,70x25,,,DOC,DOC_SECTION_BOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Section callout retained as beam section.
M0G-M-G1-B-025,ORDINARY_BEAM,B-025,G1,G1,G1,28,29,M0G-F-G1-AN-049,M0G-F-G1-AN-050,5.8500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-026,ORDINARY_BEAM,B-026,G1,G1,G1,29,30,M0G-F-G1-AN-051,M0G-F-G1-AN-052,3.7834,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Longitudinal run terminates on P30 physical face.
M0G-M-G1-B-027,ORDINARY_BEAM,B-027,G1,G1,G1,25,26,M0G-F-G1-AN-053,M0G-F-G1-AN-054,5.8500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-028,ORDINARY_BEAM,B-028,G1,G1,G1,26,27,M0G-F-G1-AN-055,M0G-F-G1-AN-056,3.6800,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-030,ORDINARY_BEAM,B-030,G1,G1,G1,21,22,M0G-F-G1-AN-057,M0G-F-G1-AN-058,2.4500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-031,ORDINARY_BEAM,B-031,G1,G1,G1,23,15,M0G-F-G1-AN-059,M0G-F-G1-AN-060,5.4211,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,P23-P15 continuity retained; former 6.45 m attribution revoked.
M0G-M-G1-B-032,ORDINARY_BEAM,B-032,G1,G1,G1,15,7,M0G-F-G1-AN-061,M0G-F-G1-AN-062,4.1500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-033,ORDINARY_BEAM,B-033,G1,G1,G1,24,16,M0G-F-G1-AN-063,M0G-F-G1-AN-064,6.0000,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Documented 6.45 m axis spacing remains separate from clear beam length.
M0G-M-G1-B-034,ORDINARY_BEAM,B-034,G1,G1,G1,16,8,M0G-F-G1-AN-065,M0G-F-G1-AN-066,4.2000,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-035,ORDINARY_BEAM,B-035,G1,G1,G1,23,24,M0G-F-G1-AN-067,M0G-F-G1-AN-068,4.3000,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Documentary column axis intersects P23 face at X=5.00; centroid remains distinct.
M0G-M-G1-B-036,ORDINARY_BEAM,B-036,G1,G1,G1,15,16,M0G-F-G1-AN-069,M0G-F-G1-AN-070,4.3000,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-038,ORDINARY_BEAM,B-038,G1,G1,G1,18,10,M0G-F-G1-AN-071,M0G-F-G1-AN-072,4.3760,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,P18 physical-face endpoint used.
M0G-M-G1-B-039,ORDINARY_BEAM,B-039,G1,G1,G1,10,2,M0G-F-G1-AN-073,M0G-F-G1-AN-074,5.1000,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-040,ORDINARY_BEAM,B-040,G1,G1,G1,20,11,M0G-F-G1-AN-075,M0G-F-G1-AN-076,4.2682,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,P20 X remains MIS_WATCH; vector existence inherited from source claim.
M0G-M-G1-B-041,ORDINARY_BEAM,B-041,G1,G1,G1,11,3,M0G-F-G1-AN-077,M0G-F-G1-AN-078,5.0500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-042,ORDINARY_BEAM,B-042,G1,G1,G1,9,10,M0G-F-G1-AN-079,M0G-F-G1-AN-080,4.2500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-043,ORDINARY_BEAM,B-043,G1,G1,G1,10,11,M0G-F-G1-AN-081,M0G-F-G1-AN-082,4.7000,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-045,ORDINARY_BEAM,B-045,G1,G1,G1,14,6,M0G-F-G1-AN-083,M0G-F-G1-AN-084,4.1500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim.
M0G-M-G1-B-046,ORDINARY_BEAM,B-046,G1,G1,G1,14,15,M0G-F-G1-AN-085,M0G-F-G1-AN-086,4.9000,,,65x30,,,DOC,DOC_SECTION_BOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Section callout retained as beam section.
M0G-M-G1-B-047,ORDINARY_BEAM,B-047,G1,G1,G1,22,22',M0G-F-G1-AN-087,M0G-F-G1-AN-088,0.7800,,,,,,ND,DOC_CONTINUITY_MIS_LENGTH,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Beam existence documentary; center spacing remains MIS-supported rather than DOC.
M0G-M-G1-B-048,ORDINARY_BEAM,B-048,G1,G1,G1,11,12,M0G-F-G1-AN-089,M0G-F-G1-AN-090,2.8225,,,120x20,,,DOC,DOC_SECTION_BOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,P12 Y includes MIS completion; 120x20 is beam section.
M0G-M-G1-B-049,ORDINARY_BEAM,B-049,G1,G1,G1,12,13,M0G-F-G1-AN-091,M0G-F-G1-AN-092,1.8372,,,120x20,,,DOC,DOC_SECTION_BOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inclined documentary segment; 120x20 is beam section.
M0G-M-G1-B-050,ORDINARY_BEAM,B-050,G1,G1,G1,13,14,M0G-F-G1-AN-093,M0G-F-G1-AN-094,2.5000,,,120x20,,,DOC,DOC_SECTION_BOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Section callout retained as beam section.
M0G-M-G1-B-051,ORDINARY_BEAM,B-051,G1,G1,G1,20,21,M0G-F-G1-AN-095,M0G-F-G1-AN-096,5.3051,,,65x30,,,DOC,DOC_SECTION_BOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Direct r3_c2 diagonal P20-P21 with 65x30 beam section.
M0G-M-G1-B-052,ORDINARY_BEAM,B-052,G1,G1,G1,19,20,M0G-F-G1-AN-097,M0G-F-G1-AN-098,0.4000,,,,,,ND,DOC_DIRECT_SOURCE_PATCH,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Direct P19-P20 member; endpoints are the facing support boundaries.
M0G-M-G1-B-053,ORDINARY_BEAM,B-053,G1,G1,G1,18,19,M0G-F-G1-AN-099,M0G-F-G1-AN-100,3.8677,,,50x20,,,DOC,DOC_DIRECT_SOURCE_PATCH,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Formal M0G local reopen: direct 18-19 carpenteria line; TAV-02A sequence 18-19-20 crosscheck.
M0G-M-G1-B-054,ORDINARY_BEAM,B-054,G1,G1,G1,23,22',M0G-F-G1-AN-101,M0G-F-G1-AN-102,3.7814,,,50x20,,,DOC,DOC_DIRECT_SOURCE_PATCH,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Formal M0G local reopen: direct 23-22-prime carpenteria line; TAV-02A sequence 23-22-prime-22-21 crosscheck.
M0G-M-G2-B001,ORDINARY_BEAM,G2-B001,G2,G2,G2,1,2,M0G-F-G2-B001-FROM,M0G-F-G2-B001-TO,4.2750,,,25x70,,,DOC,DOC,data/canonical/STOREY_BEAMS_G2_v1.csv,ORDINARY_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,
M0G-M-G2-B002,ORDINARY_BEAM,G2-B002,G2,G2,G2,2,3,M0G-F-G2-B002-FROM,M0G-F-G2-B002-TO,4.7000,,,25x70,,,DOC,DOC,data/canonical/STOREY_BEAMS_G2_v1.csv,ORDINARY_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,
