foundation_member_id,from_support_id,to_support_id,topology_evidence,tav01a_candidate_or_relation,source_group,section_family_state,reinforcement_binding_state,validation_state,note
FND-B019,22',23,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B020,23,24,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B021,a,b,DOC_TAV01S+DOC_TAV01A,FND-C033,F1A-G06,FND-SEC-B,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C033/F1A-G06.
FND-B022,b,25,DOC_TAV01S+DOC_TAV01A,FND-C034,F1A-G06,FND-SEC-B_TO_VERIFY,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C034/F1A-G06.
FND-B023,25,26,DOC_TAV01S+DOC_TAV01A,FND-C035,F1A-G06,FND-SEC-A_TO_VERIFY,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C035/F1A-G06.
FND-B024,26,27,DOC_TAV01S+DOC_TAV01A,FND-C036,F1A-G06,FND-SEC-A_TO_VERIFY,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C036/F1A-G06.
FND-B025,c,d,DOC_TAV01S+DOC_TAV01A,FND-C037,F1A-G06,FND-SEC-B,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C037/F1A-G06.
FND-B026,d,28,DOC_TAV01S+DOC_TAV01A,FND-C038,F1A-G06,FND-SEC-B_TO_VERIFY,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C038/F1A-G06.
FND-B027,28,29,DOC_TAV01S+DOC_TAV01A,FND-C039,F1A-G06,FND-SEC-A_TO_VERIFY,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C039/F1A-G06.
FND-B028,29,30,DOC_TAV01S+DOC_TAV01A,FND-C040,F1A-G06,FND-SEC-A_TO_VERIFY,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C040/F1A-G06.
FND-B029,31,32,DOC_TAV01S+DOC_TAV01A,FND-C041,F1A-G06,FND-SEC-A_TO_VERIFY,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C041/F1A-G06.
FND-B030,32,33,DOC_TAV01S+DOC_TAV01A,FND-C042,F1A-G06,FND-SEC-A_TO_VERIFY,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C042/F1A-G06.
FND-B031,1,9,DOC_TAV01S+DOC_TAV01A,FND-C028,F1A-G05,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C028/F1A-G05.
FND-B032,9,17,DOC_TAV01S+DOC_TAV01A,FND-C027,F1A-G05,FND-SEC-B_TO_A_TRANSITION_WATCH,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C027/F1A-G05.
FND-B033,17,a,DOC_TAV01S+DOC_TAV01A,FND-C026,F1A-G05,FND-SEC-B,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C026/F1A-G05.
FND-B034,a,c,DOC_TAV01S+DOC_TAV01A,FND-C025,F1A-G05,FND-SEC-B,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C025/F1A-G05.
FND-B035,2,10,DOC_TAV01S+DOC_TAV01A,FND-C032,F1A-G05,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C032/F1A-G05.
FND-B036,10,18,DOC_TAV01S+DOC_TAV01A,FND-C031,F1A-G05,FND-SEC-B_TO_A_TRANSITION_WATCH,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C031/F1A-G05.
FND-B037,18,b,DOC_TAV01S+DOC_TAV01A,FND-C030,F1A-G05,FND-SEC-B,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C030/F1A-G05.
FND-B038,b,d,DOC_TAV01S+DOC_TAV01A,FND-C029,F1A-G05,FND-SEC-B,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C029/F1A-G05.
FND-B039,3,11,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B040,11,20,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B041,4,5,DOC_TAV01S+DOC_TAV01A,FND-C044,F1A-G07,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C044/F1A-G07.
FND-B042,5,12,DOC_TAV01S+DOC_TAV01A,FND-C043,F1A-G07,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C043/F1A-G07.
FND-B043,6,14,DOC_TAV01S+DOC_TAV01A,FND-C024,F1A-G04,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C024/F1A-G04.
FND-B044,14,22,DOC_TAV01S+DOC_TAV01A,FND-C023,F1A-G04,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C023/F1A-G04.
FND-B045,7,15,DOC_TAV01S+DOC_TAV01A,FND-C022,F1A-G04,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C022/F1A-G04.
FND-B046,15,23,DOC_TAV01S+DOC_TAV01A,FND-C021,F1A-G04,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C021/F1A-G04.
FND-B047,8,16,DOC_TAV01S+DOC_TAV01A,FND-C020,F1A-G04,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C020/F1A-G04.
FND-B048,16,24,DOC_TAV01S+DOC_TAV01A,FND-C019,F1A-G04,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C019/F1A-G04.
FND-B049,13,21,DOC_TAV01S+DOC_TAV01A,FND-C011,F1A-G03,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C011/F1A-G03.
FND-B050,21,26,DOC_TAV01S+DOC_TAV01A,FND-C012,F1A-G03,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C012/F1A-G03.
FND-B051,26,29,DOC_TAV01S+DOC_TAV01A,FND-C013,F1A-G03,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C013/F1A-G03.
FND-B052,29,32,DOC_TAV01S+DOC_TAV01A,FND-C014,F1A-G03,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C014/F1A-G03.
FND-B053,22',27,DOC_TAV01S+SUPPORTED_TAV01A,FND-C016_TRANSFORM,F1A-G03,FND-SEC-A_SUPPORTED,SCHEMATIC_22_27_SPLIT_AT_22_PRIME,CURRENT_DOC_TOPOLOGY,"Physical TAV-01S path uses distinct 22' support; TAV-01A schematic 22-27 is not used as direct geometry."
FND-B054,27,30,DOC_TAV01S+DOC_TAV01A,FND-C017,F1A-G03,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C017/F1A-G03.
FND-B055,30,33,DOC_TAV01S+DOC_TAV01A,FND-C018,F1A-G03,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C018/F1A-G03.
FND-B056,19,25,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B057,25,28,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B058,28,31,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
