record_id,wing,entity_kind,entity_ref,x_m,y_m,z_rel_m,section_cm,section_state,source_ref,evidence_state,role,notes
RA-E-008,A,BEAM,AG5-008,NA,NA,NA,ND,PARAMETRIC_ND,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC_TOPOLOGY,SUPPORT_UNKNOWN,"P18-P19."
RA-E-029,A,BEAM,AG5-029,NA,NA,NA,30x50,DOC,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,KNOWN_SECTION,"P03-P11."
RA-E-030,A,BEAM,AG5-030,NA,NA,NA,30x50,DOC,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,KNOWN_SECTION,"P11-P20."
RC-N-P19,C,NODE,P19,12.4001,0.0402,2.40,40x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,INTERWING_SUPPORT,"Provides source-bound local boundary through AG5-031."
RC-N-P25,C,NODE,P25,8.1467,0.0379,2.40,40x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,EAVE_SUPPORT,"Local Z scenario only."
RC-N-P26,C,NODE,P26,8.1467,-6.2825,3.40,30x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,RIDGE_SUPPORT,"Response node for WING-C sensitivity."
RC-N-P27,C,NODE,P27,8.1575,-10.4494,2.40,40x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,EAVE_SUPPORT,"Local Z scenario only."
RC-N-P28,C,NODE,P28,4.7022,0.0197,2.40,40x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,EAVE_SUPPORT,"Local Z scenario only."
RC-N-P29,C,NODE,P29,4.7149,-6.2881,3.40,30x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,RIDGE_SUPPORT,"Local Z scenario only."
RC-N-P30,C,NODE,P30,4.7170,-10.9201,2.40,30x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,EAVE_SUPPORT,"Local Z scenario only."
RC-E-022,C,BEAM,AG5-022,NA,NA,NA,ND,PARAMETRIC_ND,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC_TOPOLOGY,FRAME_UNKNOWN,"P25-P26."
RC-E-023,C,BEAM,AG5-023,NA,NA,NA,ND,PARAMETRIC_ND,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC_TOPOLOGY,FRAME_UNKNOWN,"P26-P27."
RC-E-024,C,BEAM,AG5-024,NA,NA,NA,ND,PARAMETRIC_ND,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC_TOPOLOGY,EAVE_UNKNOWN,"P25-P28."
RC-E-025,C,BEAM,AG5-025,NA,NA,NA,ND,PARAMETRIC_ND,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC_TOPOLOGY,RIDGE_UNKNOWN,"P26-P29."
RC-E-026,C,BEAM,AG5-026,NA,NA,NA,ND,PARAMETRIC_ND,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC_TOPOLOGY,EAVE_UNKNOWN,"P27-P30."
RC-E-027,C,BEAM,AG5-027,NA,NA,NA,ND,PARAMETRIC_ND,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC_TOPOLOGY,FRAME_UNKNOWN,"P28-P29."
RC-E-028,C,BEAM,AG5-028,NA,NA,NA,ND,PARAMETRIC_ND,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC_TOPOLOGY,FRAME_UNKNOWN,"P29-P30."
RC-E-031,C,BEAM,AG5-031,NA,NA,NA,30x50,DOC,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,KNOWN_SECTION,"P19-P26 inter-wing member retained as source-bound boundary link."
RAC-GATE,ALL,GATE,ROOF_AC_SENSITIVITY,NA,NA,NA,NA,SCENARIO_ONLY,"M0 upper-Z + G5 source-bound artifacts",MIXED,NON_ASSESSMENT,"Sections 20x45/30x45/30x50 may be injected only as versioned sensitivity scenarios for PARAMETRIC_ND beams. No scenario section is promoted to canonical member identity."
