entity,property,value,sources,evStatus,resolution,conflict,decisionNeeded,rule,group
N006,x_mm,"33159.8","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N006,y_mm,"5536.1","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N006,classe_topologica,"LINE","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N006,grado_topologico,"2","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N007,x_mm,"31775.0","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N007,y_mm,"5536.1","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N007,classe_topologica,"LINE","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N007,grado_topologico,"2","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N008,x_mm,"31709.7","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N008,y_mm,"12151.3","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N008,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N008,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N009,x_mm,"8485.1","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N009,y_mm,"10543.7","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N009,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N009,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N010,x_mm,"42889.2","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N010,y_mm,"12616.6","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N010,classe_topologica,"JOINT","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N010,grado_topologico,"3","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N011,x_mm,"23789.6","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N011,y_mm,"20627.2","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N011,classe_topologica,"JOINT","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N011,grado_topologico,"3","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N012,x_mm,"CONFLICT: nodes=23789.6 tav5=22067.3","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=1722.3mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N012,y_mm,"CONFLICT: nodes=17276.3 tav5=14484.3","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=2792.0mm","Which source is authoritative?","",57_nodi_XY
N012,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N012,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N013,x_mm,"CONFLICT: nodes=23789.6 tav5=37611.4","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=-13821.8mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N013,y_mm,"CONFLICT: nodes=12151.3 tav5=7740.6","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=4410.7mm","Which source is authoritative?","",57_nodi_XY
N013,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N013,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N014,x_mm,"CONFLICT: nodes=23789.6 tav5=19410.5","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=4379.1mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N014,y_mm,"CONFLICT: nodes=7839.7 tav5=19408.2","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=-11568.5mm","Which source is authoritative?","",57_nodi_XY
N014,classe_topologica,"LINE","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N014,grado_topologico,"2","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N015,x_mm,"CONFLICT: nodes=23789.6 tav5=23823.6","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=-34.0mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N015,y_mm,"CONFLICT: nodes=5536.1 tav5=19434.3","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=-13898.2mm","Which source is authoritative?","",57_nodi_XY
N015,classe_topologica,"JOINT","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N015,grado_topologico,"3","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N016,x_mm,"CONFLICT: nodes=28419.4 tav5=33106.9","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=-4687.5mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N016,y_mm,"CONFLICT: nodes=23679.0 tav5=9659.7","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=14019.3mm","Which source is authoritative?","",57_nodi_XY
N016,classe_topologica,"JOINT","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N016,grado_topologico,"3","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N017,x_mm,"CONFLICT: nodes=28419.4 tav5=28738.3","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=-318.9mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N017,y_mm,"CONFLICT: nodes=20627.2 tav5=19447.4","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=1179.8mm","Which source is authoritative?","",57_nodi_XY
N017,classe_topologica,"LINE","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N017,grado_topologico,"2","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N018,x_mm,"CONFLICT: nodes=28419.4 tav5=28708.2","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=-288.8mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N018,y_mm,"CONFLICT: nodes=17276.3 tav5=25677.3","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=-8401.0mm","Which source is authoritative?","",57_nodi_XY
N018,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N018,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N019,x_mm,"CONFLICT: nodes=28419.4 tav5=37768.1","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=-9348.7mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N019,y_mm,"CONFLICT: nodes=12151.3 tav5=23966.4","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=-11815.1mm","Which source is authoritative?","",57_nodi_XY
N019,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N019,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N020,x_mm,"CONFLICT: nodes=28419.4 tav5=7812.3","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=20607.1mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N020,y_mm,"CONFLICT: nodes=7839.7 tav5=1328.9","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=6510.8mm","Which source is authoritative?","",57_nodi_XY
N020,classe_topologica,"CROSS","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N020,grado_topologico,"0","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N021,x_mm,"CONFLICT: nodes=28419.4 tav5=26232.6","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=2186.8mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N021,y_mm,"CONFLICT: nodes=5536.1 tav5=2847.2","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=2688.9mm","Which source is authoritative?","",57_nodi_XY
N021,classe_topologica,"CROSS","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N021,grado_topologico,"0","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N022,x_mm,"CONFLICT: nodes=31709.7 tav5=25971.3","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=5738.4mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N022,y_mm,"CONFLICT: nodes=20627.2 tav5=2847.2","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=17780.0mm","Which source is authoritative?","",57_nodi_XY
N022,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N022,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N023,x_mm,"CONFLICT: nodes=31709.7 tav5=32464.1","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=-754.4mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N023,y_mm,"CONFLICT: nodes=17276.3 tav5=24932.8","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=-7656.5mm","Which source is authoritative?","",57_nodi_XY
N023,classe_topologica,"CROSS","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N023,grado_topologico,"0","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N024,x_mm,"CONFLICT: nodes=31709.7 tav5=41004.8","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=-9295.1mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N024,y_mm,"CONFLICT: nodes=7839.7 tav5=12616.6","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=-4776.9mm","Which source is authoritative?","",57_nodi_XY
N024,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N024,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N025,x_mm,"CONFLICT: nodes=33084.7 tav5=40694.5","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=-7609.8mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N025,y_mm,"CONFLICT: nodes=17276.3 tav5=12616.6","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=4659.7mm","Which source is authoritative?","",57_nodi_XY
N025,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N025,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N026,x_mm,"CONFLICT: nodes=36500.9 tav5=41004.8","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=-4503.9mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N026,y_mm,"CONFLICT: nodes=17276.3 tav5=13152.1","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=4124.2mm","Which source is authoritative?","",57_nodi_XY
N026,classe_topologica,"CROSS","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N026,grado_topologico,"0","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N027,x_mm,"CONFLICT: nodes=42889.2 tav5=40694.5","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δx=2194.7mm","Which source is authoritative? nodes.csv is VER, tav5 is PREDOC","",57_nodi_XY
N027,y_mm,"CONFLICT: nodes=17276.3 tav5=13152.1","nodes.csv [VER_GEOMETRIC] vs tav5_topology_nodes_57.csv [PREDOC_TOPOLOGICO]",CONFLICT,CONFLICT,"Δy=4124.2mm","Which source is authoritative?","",57_nodi_XY
N027,classe_topologica,"CROSS","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N027,grado_topologico,"0","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N028,x_mm,"37862.9","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N028,y_mm,"19630.2","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N028,classe_topologica,"JOINT","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N028,grado_topologico,"3","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N029,x_mm,"42871.3","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N029,y_mm,"23731.3","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N029,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N029,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N030,x_mm,"8485.1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N030,y_mm,"9397.2","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N030,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N030,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N031,x_mm,"42882.7","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N031,y_mm,"18454.7","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N031,classe_topologica,"LINE","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N031,grado_topologico,"2","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N032,x_mm,"8485.1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N032,y_mm,"10265.7","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N032,classe_topologica,"CROSS","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N032,grado_topologico,"0","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N033,x_mm,"36500.9","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N033,y_mm,"13382.3","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N033,classe_topologica,"LINE","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N033,grado_topologico,"2","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N034,x_mm,"36749.1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N034,y_mm,"13382.3","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N034,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N034,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N035,x_mm,"28727.8","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N035,y_mm,"20662.0","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N035,classe_topologica,"JOINT","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N035,grado_topologico,"3","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N036,x_mm,"19400.1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N036,y_mm,"20609.8","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N036,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N036,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N037,x_mm,"8485.1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
N037,y_mm,"9114.7","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,SINGLE_SOURCE,"","","",57_nodi_XY
